,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Incidence_Rate,Case-Fatality_Ratio,Latitude,Longitude
3026,Adygea Republic,Russia,2020-06-02 02:33:08,874,9,394,192.775974025974,1.0297482837528604,44.6939006,40.1520421
3032,Altai Krai,Russia,2020-06-02 02:33:08,1915,12,805,81.48658769063181,0.6266318537859008,52.693224300000004,82.69314240000001
3033,Altai Republic,Russia,2020-06-02 02:33:08,132,0,74,60.53296524398913,0.0,50.7114101,86.8572186
3038,Amur Oblast,Russia,2020-06-02 02:33:08,528,5,167,66.13027664499063,0.946969696969697,52.8032368,128.437295
3052,Arkhangelsk Oblast,Russia,2020-06-02 02:33:08,2068,5,606,179.04327860450138,0.24177949709864605,63.5589686,43.1221646
3054,Astrakhan Oblast,Russia,2020-06-02 02:33:08,1883,16,937,185.05887879675362,0.8497079129049391,47.1878186,47.608851
3066,Bashkortostan Republic,Russia,2020-06-02 02:33:08,3337,18,1132,82.12550756246226,0.5394066526820498,54.8573563,57.1439682
3070,Belgorod Oblast,Russia,2020-06-02 02:33:08,2392,19,915,154.33492743935645,0.7943143812709029,50.7080119,37.5837615
3081,Bryansk Oblast,Russia,2020-06-02 02:33:08,3787,31,2321,312.7214112183336,0.8185899128597834,52.887331499999995,33.41585300000001
3082,Buryatia Republic,Russia,2020-06-02 02:33:08,1513,10,818,153.68035501888755,0.6609385327164574,52.718242599999996,109.492143
3104,Chechen Republic,Russia,2020-06-02 02:33:08,1247,13,836,86.77915713568933,1.0425020048115476,43.39761470000001,45.6985005
3105,Chelyabinsk Oblast,Russia,2020-06-02 02:33:08,2929,18,1323,83.85255691610392,0.6145442130419938,54.4223954,61.1865846
3114,Chukotka Autonomous Okrug,Russia,2020-06-02 02:33:08,80,1,55,162.11396611818108,1.25,66.0006475,169.4900869
3115,Chuvashia Republic,Russia,2020-06-02 02:33:08,2973,14,1272,241.48801454289074,0.4709048099562732,55.4259922,47.0849429
3125,Dagestan Republic,Russia,2020-06-02 02:33:08,5096,260,4442,166.32478046662982,5.1020408163265305,43.05749160000001,47.1332224
3180,Ingushetia Republic,Russia,2020-06-02 02:33:08,2127,50,859,435.8222533670189,2.3507287259050305,43.11542075,45.01713552
3182,Irkutsk Oblast,Russia,2020-06-02 02:33:08,1979,11,347,82.31445452635913,0.5558362809499747,56.6370122,104.71922099999999
3186,Ivanovo Oblast,Russia,2020-06-02 02:33:08,2057,18,786,202.73080463531124,0.8750607681088964,56.9167446,41.43521370000001
3188,Jewish Autonomous Okrug,Russia,2020-06-02 02:33:08,314,3,198,193.81041144592442,0.9554140127388536,48.57527615,132.66307460000002
3193,Kabardino-Balkarian Republic,Russia,2020-06-02 02:33:08,2903,20,1195,335.28599213700636,0.6889424733034791,43.480604799999995,43.5978976
3196,Kaliningrad Oblast,Russia,2020-06-02 02:33:08,1553,24,630,156.1433301260106,1.54539600772698,54.7293041,21.1489473
3197,Kalmykia Republic,Russia,2020-06-02 02:33:08,1074,15,510,389.95980581889745,1.3966480446927374,46.2313018,45.3275745
3198,Kaluga Oblast,Russia,2020-06-02 02:33:08,4009,31,1506,396.1243251361585,0.7732601646295835,54.438277299999996,35.5272854
3199,Kamchatka Krai,Russia,2020-06-02 02:33:08,881,8,267,279.18886286788126,0.9080590238365494,57.191488199999995,160.03838190000005
3201,Karachay-Cherkess Republic,Russia,2020-06-02 02:33:08,1137,5,327,243.83182680863385,0.4397537379067722,43.7368326,41.7267991
3202,Karelia Republic,Russia,2020-06-02 02:33:08,445,1,168,71.48778121204721,0.2247191011235955,62.61940309999999,33.4920267
3203,Kemerovo Oblast,Russia,2020-06-02 02:33:08,545,7,240,20.223557513014512,1.2844036697247707,54.53357809999999,87.342861
3204,Khabarovsk Krai,Russia,2020-06-02 02:33:08,2142,12,1017,161.25850898364982,0.5602240896358543,51.6312684,136.121524
3205,Khakassia Republic,Russia,2020-06-02 02:33:08,985,10,564,183.25138182704416,1.0152284263959392,53.72258845,91.44293627
3206,Khanty-Mansi Autonomous Okrug,Russia,2020-06-02 02:33:08,2587,18,809,168.83744941239738,0.6957866254348667,61.0259025,69.0982628
3212,Kirov Oblast,Russia,2020-06-02 02:33:08,1751,17,981,136.4516948531761,0.9708737864077671,57.9665589,49.4074599
3215,Komi Republic,Russia,2020-06-02 02:33:08,1352,24,704,160.7852791087358,1.7751479289940828,63.9881421,54.3326073
3216,Kostroma Oblast,Russia,2020-06-02 02:33:08,772,11,399,120.00174095789991,1.4248704663212437,58.424756,44.253327299999995
3217,Krasnodar Krai,Russia,2020-06-02 02:33:08,3908,33,2748,69.74312116528834,0.8444216990788127,45.768401399999995,39.0261044
3218,Krasnoyarsk Krai,Russia,2020-06-02 02:33:08,4380,39,1060,152.2685405199449,0.8904109589041096,63.3233807,97.09799740000001
3220,Kurgan Oblast,Russia,2020-06-02 02:33:08,245,0,118,28.975668717040172,0.0,55.7655302,64.5632681
3221,Kursk Oblast,Russia,2020-06-02 02:33:08,3063,13,1400,274.6501416290887,0.4244205027750571,51.6568453,36.4852695
3228,Leningrad Oblast,Russia,2020-06-02 02:33:08,2875,11,1590,158.5056036554976,0.3826086956521739,60.185329599999996,32.3925325
3232,Lipetsk Oblast,Russia,2020-06-02 02:33:08,2194,6,724,190.74926904080243,0.2734731084776664,52.693517799999995,39.112266399999996
3242,Magadan Oblast,Russia,2020-06-02 02:33:08,246,3,187,170.7254443372591,1.2195121951219512,62.48858785,153.9903764
3248,Mari El Republic,Russia,2020-06-02 02:33:08,1815,13,1379,265.99915290627894,0.7162534435261708,56.576750399999995,47.881751200000004
3267,Mordovia Republic,Russia,2020-06-02 02:33:08,1931,12,827,239.8590905477383,0.6214396685655101,54.4419829,44.466114399999995
3269,Moscow,Russia,2020-06-02 02:33:08,183088,2553,82239,1463.9464955253554,1.3944114305689068,55.7504461,37.6174943
3270,Moscow Oblast,Russia,2020-06-02 02:33:08,39723,473,8422,529.4010636532712,1.1907459154645923,55.50431579999999,38.0353929
3272,Murmansk Oblast,Russia,2020-06-02 02:33:08,3264,7,2081,433.1457341647678,0.21446078431372548,68.00004179999999,33.9999151
3280,Nenets Autonomous Okrug,Russia,2020-06-02 02:33:08,73,0,12,165.92040366388616,0.0,68.27557185,57.1686375
3288,Nizhny Novgorod Oblast,Russia,2020-06-02 02:33:08,10149,104,3747,313.7489365490771,1.0247315006404571,55.47180329999999,44.091159399999995
3291,North Ossetia - Alania Republic,Russia,2020-06-02 02:33:08,3005,50,1968,428.2060233838963,1.6638935108153081,42.79336110000001,44.6324493
3296,Novgorod Oblast,Russia,2020-06-02 02:33:08,1353,8,388,223.0920926796773,0.5912786400591279,58.2843833,32.516975699999996
3297,Novosibirsk Oblast,Russia,2020-06-02 02:33:08,2914,33,1129,104.4875502402604,1.1324639670555936,54.9720169,79.48139240000002
3306,Omsk Oblast,Russia,2020-06-02 02:33:08,1411,18,359,71.98682095280756,1.2756909992912828,56.09352629999999,73.5099936
3308,Orel Oblast,Russia,2020-06-02 02:33:08,2341,25,1156,313.28329187002424,1.0679196924391283,52.96854329999999,36.0692477
3309,Orenburg Oblast,Russia,2020-06-02 02:33:08,1979,6,1196,100.06472099184921,0.3031834259727135,52.02692620000001,54.7276647
3318,Penza Oblast,Russia,2020-06-02 02:33:08,2417,19,1855,181.50346748970267,0.7860984691766653,53.1655415,44.78791810000001
3319,Perm Krai,Russia,2020-06-02 02:33:08,1782,20,1063,67.93431643667357,1.1223344556677892,58.5951603,56.3159546
3326,Primorsky Krai,Russia,2020-06-02 02:33:08,2049,19,1078,107.10718088568072,0.9272816007808689,45.0819456,134.726645
3328,Pskov Oblast,Russia,2020-06-02 02:33:08,887,10,340,139.3457817659682,1.1273957158962795,57.535872899999994,28.8586826
3350,Rostov Oblast,Russia,2020-06-02 02:33:08,4942,38,1742,117.09646265376315,0.7689194658033185,47.6222451,40.7957942
3351,Ryazan Oblast,Russia,2020-06-02 02:33:08,3581,7,973,319.3119055814045,0.1954761239877129,54.42267320000001,40.57052460000001
3357,Saint Petersburg,Russia,2020-06-02 02:33:08,16313,213,5748,304.8056450610854,1.3057071047630724,59.960673899999996,30.158655100000004
3360,Sakha (Yakutiya) Republic,Russia,2020-06-02 02:33:08,2042,8,903,,0.3917727717923604,66.941626,129.642371
3361,Sakhalin Oblast,Russia,2020-06-02 02:33:08,118,0,53,24.072740477497092,0.0,49.7219665,143.448533
3362,Samara Oblast,Russia,2020-06-02 02:33:08,2648,20,1060,82.91806455208902,0.7552870090634441,53.2128813,50.8914633
3369,Saratov Oblast,Russia,2020-06-02 02:33:08,3174,34,1158,128.86985119470557,1.071203528670447,51.652055499999996,46.86319520000001
3386,Smolensk Oblast,Russia,2020-06-02 02:33:08,2299,39,773,242.16620248844467,1.6963897346672463,55.03434960000001,33.0192065
3390,Stavropol Krai,Russia,2020-06-02 02:33:08,2568,47,1102,91.69221408846585,1.8302180685358256,44.86325770000001,43.4406913
3393,Sverdlovsk Oblast,Russia,2020-06-02 02:33:08,5732,29,2337,132.52394771546471,0.5059316120027914,58.6414755,61.802154599999994
3397,Tambov Oblast,Russia,2020-06-02 02:33:08,3047,7,1176,294.80858244190904,0.2297341647522153,52.9019574,41.3578918
3400,Tatarstan Republic,Russia,2020-06-02 02:33:08,3244,10,2690,83.30157738880881,0.3082614056720099,55.7648572,52.43104273
3411,Tomsk Oblast,Russia,2020-06-02 02:33:08,716,11,326,66.40204770560523,1.5363128491620113,58.6124279,82.04753149999998
3415,Tula Oblast,Russia,2020-06-02 02:33:08,3968,36,1815,265.9775916560256,0.907258064516129,53.9570701,37.369090899999996
3418,Tver Oblast,Russia,2020-06-02 02:33:08,1650,22,1087,128.51738450765768,1.3333333333333333,57.1134475,35.174442799999994
3419,Tyumen Oblast,Russia,2020-06-02 02:33:08,1661,8,818,44.984292059365174,0.481637567730283,58.8206488,70.36588370000001
3420,Tyva Republic,Russia,2020-06-02 02:33:08,1115,2,93,346.5725066983296,0.17937219730941706,51.401714899999995,93.8582593
3422,Udmurt Republic,Russia,2020-06-02 02:33:08,682,12,412,45.07469710067916,1.7595307917888563,57.1961165,52.69598320000001
3423,Ulyanovsk Oblast,Russia,2020-06-02 02:33:08,2567,8,713,205.91712938526481,0.3116478379431243,54.146317700000004,47.2324921
3442,Vladimir Oblast,Russia,2020-06-02 02:33:08,2735,21,756,198.4275253439471,0.7678244972577697,56.0503336,40.656163299999996
