,FIPS,Admin2,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,Country/Region,Province/State,Last Update
3047,,,44.6939006,40.1520421,1213,12,674,527,"Adygea Republic, Russia",267.54834839073965,0.9892827699917559,Russia,Adygea Republic,2020-06-12 05:09:52
3053,,,52.693224300000004,82.69314240000001,2593,19,1407,1167,"Altai Krai, Russia",110.3366693899782,0.732741997686078,Russia,Altai Krai,2020-06-12 05:09:52
3054,,,50.7114101,86.8572186,212,0,111,101,"Altai Republic, Russia",97.21961084640677,0.0,Russia,Altai Republic,2020-06-12 05:09:52
3059,,,52.8032368,128.437295,873,5,325,543,"Amur Oblast, Russia",109.34040058916064,0.572737686139748,Russia,Amur Oblast,2020-06-12 05:09:52
3075,,,63.5589686,43.1221646,3362,15,985,2362,"Arkhangelsk Oblast, Russia",291.0751947138944,0.446162998215348,Russia,Arkhangelsk Oblast,2020-06-12 05:09:52
3079,,,47.1878186,47.608851,2586,23,1535,1028,"Astrakhan Oblast, Russia",254.1488372641556,0.8894044856921887,Russia,Astrakhan Oblast,2020-06-12 05:09:52
3093,,,54.8573563,57.1439682,4273,18,1741,2514,"Bashkortostan Republic, Russia",105.16101103218494,0.4212497074654809,Russia,Bashkortostan Republic,2020-06-12 05:09:52
3097,,,50.7080119,37.5837615,3137,33,1878,1226,"Belgorod Oblast, Russia",202.4032890373165,1.0519604717883329,Russia,Belgorod Oblast,2020-06-12 05:09:52
3110,,,52.887331499999995,33.41585300000001,4732,32,3316,1384,"Bryansk Oblast, Russia",390.7572532044242,0.6762468300929839,Russia,Bryansk Oblast,2020-06-12 05:09:52
3111,,,52.718242599999996,109.492143,2020,11,1176,833,"Buryatia Republic, Russia",205.17800207412614,0.5445544554455446,Russia,Buryatia Republic,2020-06-12 05:09:52
3134,,,43.39761470000001,45.6985005,1420,16,1119,285,"Chechen Republic, Russia",98.81828639348744,1.1267605633802815,Russia,Chechen Republic,2020-06-12 05:09:52
3135,,,54.4223954,61.1865846,4130,37,2099,1994,"Chelyabinsk Oblast, Russia",118.2352543747044,0.8958837772397095,Russia,Chelyabinsk Oblast,2020-06-12 05:09:52
3145,,,66.0006475,169.4900869,114,1,70,43,"Chukotka Autonomous Okrug, Russia",231.012401718408,0.8771929824561403,Russia,Chukotka Autonomous Okrug,2020-06-12 05:09:52
3146,,,55.4259922,47.0849429,3802,18,1957,1827,"Chuvashia Republic, Russia",308.8252375688095,0.4734350341925303,Russia,Chuvashia Republic,2020-06-12 05:09:52
3157,,,43.05749160000001,47.1332224,6272,309,4662,1301,"Dagestan Republic, Russia",204.70742211277516,4.926658163265306,Russia,Dagestan Republic,2020-06-12 05:09:52
3224,,,43.11542075,45.01713552,2474,62,1679,733,"Ingushetia Republic, Russia",506.92254575928763,2.506063055780113,Russia,Ingushetia Republic,2020-06-12 05:09:52
3226,,,56.6370122,104.71922099999999,3505,20,948,2537,"Irkutsk Oblast, Russia",145.7868434132839,0.5706134094151213,Russia,Irkutsk Oblast,2020-06-12 05:09:52
3231,,,56.9167446,41.43521370000001,3130,25,1307,1798,"Ivanovo Oblast, Russia",308.48197302310365,0.7987220447284346,Russia,Ivanovo Oblast,2020-06-12 05:09:52
3235,,,48.57527615,132.66307460000002,363,4,263,96,"Jewish Autonomous Okrug, Russia",224.05471132124387,1.1019283746556474,Russia,Jewish Autonomous Okrug,2020-06-12 05:09:52
3242,,,43.480604799999995,43.5978976,3655,34,1838,1783,"Kabardino-Balkarian Republic, Russia",422.13927015527327,0.9302325581395348,Russia,Kabardino-Balkarian Republic,2020-06-12 05:09:52
3245,,,54.7293041,21.1489473,1946,30,950,966,"Kaliningrad Oblast, Russia",195.6567420638871,1.5416238437821173,Russia,Kaliningrad Oblast,2020-06-12 05:09:52
3247,,,46.2313018,45.3275745,1215,16,751,448,"Kalmykia Republic, Russia",441.15564624763533,1.316872427983539,Russia,Kalmykia Republic,2020-06-12 05:09:52
3248,,,54.438277299999996,35.5272854,4829,37,2392,2400,"Kaluga Oblast, Russia",477.1475096239734,0.7662041830606751,Russia,Kaluga Oblast,2020-06-12 05:09:52
3249,,,57.191488199999995,160.03838190000005,1306,10,402,894,"Kamchatka Krai, Russia",413.87134495511117,0.7656967840735069,Russia,Kamchatka Krai,2020-06-12 05:09:52
3251,,,43.7368326,41.7267991,1889,9,500,1380,"Karachay-Cherkess Republic, Russia",405.09966652727286,0.4764425622022234,Russia,Karachay-Cherkess Republic,2020-06-12 05:09:52
3252,,,62.61940309999999,33.4920267,685,2,260,423,"Karelia Republic, Russia",110.04298905674685,0.291970802919708,Russia,Karelia Republic,2020-06-12 05:09:52
