,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Incidence_Rate,Case-Fatality_Ratio,Latitude,Longitude
3377,Novgorod Oblast,Russia,2020-06-15 03:33:14,2011,12,483,331.58772977001564,0.5967180507210343,58.2843833,32.516975699999996
3378,Novosibirsk Oblast,Russia,2020-06-15 03:33:14,4285,55,2148,153.64761591610016,1.2835472578763127,54.9720169,79.48139240000002
3388,Omsk Oblast,Russia,2020-06-15 03:33:14,2247,23,1218,114.63811954710036,1.0235870048954159,56.09352629999999,73.5099936
3391,Orel Oblast,Russia,2020-06-15 03:33:14,3559,35,1689,476.28160434233934,0.9834223096375386,52.96854329999999,36.0692477
3392,Orenburg Oblast,Russia,2020-06-15 03:33:14,2768,11,1924,139.95914487389518,0.3973988439306359,52.02692620000001,54.7276647
3402,Penza Oblast,Russia,2020-06-15 03:33:14,3729,31,2887,280.0274845962355,0.8313220702601234,53.1655415,44.78791810000001
3403,Perm Krai,Russia,2020-06-15 03:33:14,2687,38,1749,102.43518982342415,1.4142165984369186,58.5951603,56.3159546
3410,Primorsky Krai,Russia,2020-06-15 03:33:14,2886,26,1684,150.85960177456056,0.9009009009009008,45.0819456,134.726645
3412,Pskov Oblast,Russia,2020-06-15 03:33:14,1740,19,517,273.35023706063663,1.091954022988506,57.535872899999994,28.8586826
3438,Rostov Oblast,Russia,2020-06-15 03:33:14,7481,67,2931,177.25589581400288,0.8956021922202914,47.6222451,40.7957942
3439,Ryazan Oblast,Russia,2020-06-15 03:33:14,4458,12,2046,397.5125593638372,0.2691790040376851,54.42267320000001,40.57052460000001
3445,Saint Petersburg,Russia,2020-06-15 03:33:14,20561,597,9677,384.1788063569532,2.903555274548903,59.960673899999996,30.158655100000004
3448,Sakha (Yakutiya) Republic,Russia,2020-06-15 03:33:14,3037,20,1862,314.93368452708097,0.658544616397761,66.941626,129.642371
3449,Sakhalin Oblast,Russia,2020-06-15 03:33:14,330,0,98,67.32207082689864,0.0,49.7219665,143.448533
3450,Samara Oblast,Russia,2020-06-15 03:33:14,3804,46,1889,119.11643412241186,1.2092534174553102,53.2128813,50.8914633
3457,Saratov Oblast,Russia,2020-06-15 03:33:14,4606,38,2052,187.01151058689786,0.8250108554059922,51.652055499999996,46.86319520000001
3478,Smolensk Oblast,Russia,2020-06-15 03:33:14,3791,49,1461,399.32669579543017,1.2925349512002111,55.03434960000001,33.0192065
3483,Stavropol Krai,Russia,2020-06-15 03:33:14,3677,69,1893,131.2898252349256,1.8765297797117213,44.86325770000001,43.4406913
3487,Sverdlovsk Oblast,Russia,2020-06-15 03:33:14,9325,50,4144,215.5941752349456,0.5361930294906166,58.6414755,61.802154599999994
3491,Tambov Oblast,Russia,2020-06-15 03:33:14,3897,10,1847,377.0492437729306,0.25660764690787785,52.9019574,41.3578918
3495,Tatarstan Republic,Russia,2020-06-15 03:33:14,3914,10,3617,100.50628048699068,0.2554931016862545,55.7648572,52.43104273
3507,Tomsk Oblast,Russia,2020-06-15 03:33:14,1268,11,599,117.59468783618357,0.8675078864353313,58.6124279,82.04753149999998
3512,Tula Oblast,Russia,2020-06-15 03:33:14,5340,58,3255,357.9436339322521,1.0861423220973785,53.9570701,37.369090899999996
3515,Tver Oblast,Russia,2020-06-15 03:33:14,2650,50,1645,206.40670845169262,1.8867924528301887,57.1134475,35.174442799999994
3516,Tyumen Oblast,Russia,2020-06-15 03:33:14,2196,14,1251,59.47351316217095,0.6375227686703097,58.8206488,70.36588370000001
