,FIPS,Admin2,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,Country/Region,Province/State,Last Update
3034,,,44.6939006,40.1520421,937,9,487,441,"Adygea Republic, Russia",206.67172501411633,0.96051227321238,Russia,Adygea Republic,2020-06-05 02:33:06
3040,,,52.693224300000004,82.69314240000001,2135,12,899,1224,"Altai Krai, Russia",90.84797113289758,0.5620608899297423,Russia,Altai Krai,2020-06-05 02:33:06
3041,,,50.7114101,86.8572186,154,0,88,66,"Altai Republic, Russia",70.62179278465399,0.0,Russia,Altai Republic,2020-06-05 02:33:06
3046,,,52.8032368,128.437295,588,5,216,367,"Amur Oblast, Russia",73.64508080919411,0.8503401360544217,Russia,Amur Oblast,2020-06-05 02:33:06
3060,,,63.5589686,43.1221646,2496,8,737,1751,"Arkhangelsk Oblast, Russia",216.09865734856643,0.3205128205128205,Russia,Arkhangelsk Oblast,2020-06-05 02:33:06
3062,,,47.1878186,47.608851,2097,19,1120,958,"Astrakhan Oblast, Russia",206.0905304497039,0.9060562708631378,Russia,Astrakhan Oblast,2020-06-05 02:33:06
3074,,,54.8573563,57.1439682,3608,18,1249,2341,"Bashkortostan Republic, Russia",88.79497491320463,0.4988913525498891,Russia,Bashkortostan Republic,2020-06-05 02:33:06
3078,,,50.7080119,37.5837615,2624,22,1151,1451,"Belgorod Oblast, Russia",169.30386688999639,0.8384146341463414,Russia,Belgorod Oblast,2020-06-05 02:33:06
3089,,,52.887331499999995,33.41585300000001,4078,31,2623,1424,"Bryansk Oblast, Russia",336.75149589341544,0.7601765571358509,Russia,Bryansk Oblast,2020-06-05 02:33:06
3090,,,52.718242599999996,109.492143,1633,10,975,648,"Buryatia Republic, Russia",165.8691472213109,0.612369871402327,Russia,Buryatia Republic,2020-06-05 02:33:06
3112,,,43.39761470000001,45.6985005,1291,14,973,304,"Chechen Republic, Russia",89.84113220703684,1.0844306738962044,Russia,Chechen Republic,2020-06-05 02:33:06
3113,,,54.4223954,61.1865846,3263,21,1479,1763,"Chelyabinsk Oblast, Russia",93.41443947328341,0.6435795280416794,Russia,Chelyabinsk Oblast,2020-06-05 02:33:06
3122,,,66.0006475,169.4900869,91,1,60,30,"Chukotka Autonomous Okrug, Russia",184.40463645943098,1.0989010989010992,Russia,Chukotka Autonomous Okrug,2020-06-05 02:33:06
3123,,,55.4259922,47.0849429,3231,15,1431,1785,"Chuvashia Republic, Russia",262.44459299969054,0.4642525533890437,Russia,Chuvashia Republic,2020-06-05 02:33:06
3133,,,43.05749160000001,47.1332224,5463,287,4497,679,"Dagestan Republic, Russia",178.30303683069042,5.253523704924034,Russia,Dagestan Republic,2020-06-05 02:33:06
3188,,,43.11542075,45.01713552,2228,60,1193,975,"Ingushetia Republic, Russia",456.5171511526648,2.692998204667864,Russia,Ingushetia Republic,2020-06-05 02:33:06
3190,,,56.6370122,104.71922099999999,2447,15,506,1926,"Irkutsk Oblast, Russia",101.78042962405294,0.6129955046996322,Russia,Irkutsk Oblast,2020-06-05 02:33:06
3194,,,56.9167446,41.43521370000001,2322,20,963,1339,"Ivanovo Oblast, Russia",228.848287974328,0.8613264427217916,Russia,Ivanovo Oblast,2020-06-05 02:33:06
3196,,,48.57527615,132.66307460000002,323,4,240,79,"Jewish Autonomous Okrug, Russia",199.365486933228,1.238390092879257,Russia,Jewish Autonomous Okrug,2020-06-05 02:33:06
3201,,,43.480604799999995,43.5978976,3126,25,1457,1644,"Kabardino-Balkarian Republic, Russia",361.0416849535936,0.7997440818937941,Russia,Kabardino-Balkarian Republic,2020-06-05 02:33:06
3204,,,54.7293041,21.1489473,1665,24,718,923,"Kaliningrad Oblast, Russia",167.40414981314078,1.4414414414414414,Russia,Kaliningrad Oblast,2020-06-05 02:33:06
3205,,,46.2313018,45.3275745,1127,16,577,534,"Kalmykia Republic, Russia",409.2036323630329,1.419698314108252,Russia,Kalmykia Republic,2020-06-05 02:33:06
3206,,,54.438277299999996,35.5272854,4270,34,1812,2424,"Kaluga Oblast, Russia",421.91341190606056,0.7962529274004684,Russia,Kaluga Oblast,2020-06-05 02:33:06
3207,,,57.191488199999995,160.03838190000005,984,8,289,687,"Kamchatka Krai, Russia",311.82955852666873,0.8130081300813008,Russia,Kamchatka Krai,2020-06-05 02:33:06
3209,,,43.7368326,41.7267991,1354,7,369,978,"Karachay-Cherkess Republic, Russia",290.36789225935814,0.51698670605613,Russia,Karachay-Cherkess Republic,2020-06-05 02:33:06
3210,,,62.61940309999999,33.4920267,520,2,205,313,"Karelia Republic, Russia",83.53628366351585,0.38461538461538464,Russia,Karelia Republic,2020-06-05 02:33:06
3211,,,54.53357809999999,87.342861,638,7,261,370,"Kemerovo Oblast, Russia",23.67454989596928,1.09717868338558,Russia,Kemerovo Oblast,2020-06-05 02:33:06
3212,,,51.6312684,136.121524,2333,14,1211,1108,"Khabarovsk Krai, Russia",175.63776912178105,0.6000857265323618,Russia,Khabarovsk Krai,2020-06-05 02:33:06
3213,,,53.72258845,91.44293627,1077,10,655,412,"Khakassia Republic, Russia",200.36724693170208,0.9285051067780872,Russia,Khakassia Republic,2020-06-05 02:33:06
3214,,,61.0259025,69.0982628,2987,18,979,1990,"Khanty-Mansi Autonomous Okrug, Russia",194.94296922877118,0.6026113157013726,Russia,Khanty-Mansi Autonomous Okrug,2020-06-05 02:33:06
3220,,,57.9665589,49.4074599,1967,17,1076,874,"Kirov Oblast, Russia",153.28411409263128,0.8642602948652771,Russia,Kirov Oblast,2020-06-05 02:33:06
3223,,,63.9881421,54.3326073,1455,25,816,614,"Komi Republic, Russia",173.0344534787061,1.718213058419244,Russia,Komi Republic,2020-06-05 02:33:06
3224,,,58.424756,44.253327299999995,842,11,435,396,"Kostroma Oblast, Russia",130.88272783232088,1.3064133016627075,Russia,Kostroma Oblast,2020-06-05 02:33:06
3225,,,45.768401399999995,39.0261044,4148,40,3006,1102,"Krasnodar Krai, Russia",74.02621970153942,0.9643201542912246,Russia,Krasnodar Krai,2020-06-05 02:33:06
3226,,,63.3233807,97.09799740000001,4795,46,1363,3386,"Krasnoyarsk Krai, Russia",166.69581091167487,0.959332638164755,Russia,Krasnoyarsk Krai,2020-06-05 02:33:06
3228,,,55.7655302,64.5632681,259,0,148,111,"Kurgan Oblast, Russia",30.63142121515676,0.0,Russia,Kurgan Oblast,2020-06-05 02:33:06
3229,,,51.6568453,36.4852695,3272,15,1596,1661,"Kursk Oblast, Russia",293.3905528600647,0.4584352078239609,Russia,Kursk Oblast,2020-06-05 02:33:06
3236,,,60.185329599999996,32.3925325,3034,15,1829,1190,"Leningrad Oblast, Russia",167.2716526924451,0.4943968358602505,Russia,Leningrad Oblast,2020-06-05 02:33:06
3240,,,52.693517799999995,39.112266399999996,2388,8,835,1545,"Lipetsk Oblast, Russia",207.6158862668351,0.33500837520938026,Russia,Lipetsk Oblast,2020-06-05 02:33:06
3250,,,62.48858785,153.9903764,271,3,203,65,"Magadan Oblast, Russia",188.0755911195009,1.1070110701107012,Russia,Magadan Oblast,2020-06-05 02:33:06
3256,,,56.576750399999995,47.881751200000004,1933,13,1582,338,"Mari El Republic, Russia",283.29276174536477,0.6725297465080187,Russia,Mari El Republic,2020-06-05 02:33:06
3275,,,54.4419829,44.466114399999995,2051,14,1016,1021,"Mordovia Republic, Russia",254.76488592097942,0.6825938566552902,Russia,Mordovia Republic,2020-06-05 02:33:06
3277,,,55.7504461,37.6174943,189214,2749,94715,91750,"Moscow, Russia",1512.9291499406545,1.452852325937827,Russia,Moscow,2020-06-05 02:33:06
3278,,,55.50431579999999,38.0353929,41958,534,9877,31547,"Moscow Oblast, Russia",559.1876199875123,1.2727012727012728,Russia,Moscow Oblast,2020-06-05 02:33:06
3280,,,68.00004179999999,33.9999151,3375,7,2401,967,"Murmansk Oblast, Russia",447.87587402147415,0.2074074074074074,Russia,Murmansk Oblast,2020-06-05 02:33:06
3288,,,68.27557185,57.1686375,75,0,15,60,"Nenets Autonomous Okrug, Russia",170.46616814782826,0.0,Russia,Nenets Autonomous Okrug,2020-06-05 02:33:06
3296,,,55.47180329999999,44.091159399999995,11169,122,4451,6596,"Nizhny Novgorod Oblast, Russia",345.2814929861702,1.09230906974662,Russia,Nizhny Novgorod Oblast,2020-06-05 02:33:06
3299,,,42.79336110000001,44.6324493,3151,57,2536,558,"North Ossetia - Alania Republic, Russia",449.0107087130308,1.808949539828626,Russia,North Ossetia - Alania Republic,2020-06-05 02:33:06
3304,,,58.2843833,32.516975699999996,1546,8,426,1112,"Novgorod Oblast, Russia",254.91528106635712,0.517464424320828,Russia,Novgorod Oblast,2020-06-05 02:33:06
3305,,,54.9720169,79.48139240000002,3226,36,1262,1928,"Novosibirsk Oblast, Russia",115.67496124745371,1.1159330440173592,Russia,Novosibirsk Oblast,2020-06-05 02:33:06
3314,,,56.09352629999999,73.5099936,1540,18,566,956,"Omsk Oblast, Russia",78.56818162106565,1.1688311688311688,Russia,Omsk Oblast,2020-06-05 02:33:06
3316,,,52.96854329999999,36.0692477,2528,28,1363,1137,"Orel Oblast, Russia",338.30848434319574,1.1075949367088609,Russia,Orel Oblast,2020-06-05 02:33:06
3317,,,52.02692620000001,54.7276647,2141,8,1276,857,"Orenburg Oblast, Russia",108.2559715227636,0.3736571695469407,Russia,Orenburg Oblast,2020-06-05 02:33:06
3326,,,53.1655415,44.78791810000001,2669,24,2132,513,"Penza Oblast, Russia",200.4272878485794,0.8992131884600975,Russia,Penza Oblast,2020-06-05 02:33:06
3327,,,58.5951603,56.3159546,1962,26,1266,670,"Perm Krai, Russia",74.79636860199412,1.3251783893985731,Russia,Perm Krai,2020-06-05 02:33:06
3334,,,45.0819456,134.726645,2211,21,1290,900,"Primorsky Krai, Russia",115.57539138030263,0.949796472184532,Russia,Primorsky Krai,2020-06-05 02:33:06
3336,,,57.535872899999994,28.8586826,1066,10,403,653,"Pskov Oblast, Russia",167.46629465898772,0.9380863039399624,Russia,Pskov Oblast,2020-06-05 02:33:06
3358,,,47.6222451,40.7957942,5557,43,2049,3465,"Rostov Oblast, Russia",131.668361587811,0.7737988123087998,Russia,Rostov Oblast,2020-06-05 02:33:06
3359,,,54.42267320000001,40.57052460000001,3801,10,1229,2562,"Ryazan Oblast, Russia",338.92894529877645,0.2630886608787161,Russia,Ryazan Oblast,2020-06-05 02:33:06
3365,,,59.960673899999996,30.158655100000004,17444,264,6695,10485,"Saint Petersburg, Russia",325.9381887111858,1.5134143545058474,Russia,Saint Petersburg,2020-06-05 02:33:06
3368,,,66.941626,129.642371,2308,11,1071,1226,"Sakha (Yakutiya) Republic, Russia",239.33715636763353,0.4766031195840554,Russia,Sakha (Yakutiya) Republic,2020-06-05 02:33:06
3369,,,49.7219665,143.448533,147,0,62,85,"Sakhalin Oblast, Russia",29.98892245925485,0.0,Russia,Sakhalin Oblast,2020-06-05 02:33:06
3370,,,53.2128813,50.8914633,2833,23,1212,1598,"Samara Oblast, Russia",88.71105622208012,0.8118602188492764,Russia,Samara Oblast,2020-06-05 02:33:06
3377,,,51.652055499999996,46.86319520000001,3457,35,1361,2061,"Saratov Oblast, Russia",140.36013723380498,1.01243853051779,Russia,Saratov Oblast,2020-06-05 02:33:06
3394,,,55.03434960000001,33.0192065,2678,41,940,1697,"Smolensk Oblast, Russia",282.0883385228599,1.530993278566094,Russia,Smolensk Oblast,2020-06-05 02:33:06
3398,,,44.86325770000001,43.4406913,2819,53,1318,1448,"Stavropol Krai, Russia",100.65434249041479,1.8800993260021284,Russia,Stavropol Krai,2020-06-05 02:33:06
3401,,,58.6414755,61.802154599999994,6679,35,2827,3817,"Sverdlovsk Oblast, Russia",154.41860551144256,0.5240305434945352,Russia,Sverdlovsk Oblast,2020-06-05 02:33:06
3405,,,52.9019574,41.3578918,3242,8,1405,1829,"Tambov Oblast, Russia",313.67555768843755,0.24676125848241826,Russia,Tambov Oblast,2020-06-05 02:33:06
3408,,,55.7648572,52.43104273,3402,10,3130,262,"Tatarstan Republic, Russia",87.35880588061887,0.29394473838918284,Russia,Tatarstan Republic,2020-06-05 02:33:06
3419,,,58.6124279,82.04753149999998,797,11,381,405,"Tomsk Oblast, Russia",73.91401120302704,1.3801756587202008,Russia,Tomsk Oblast,2020-06-05 02:33:06
3423,,,53.9570701,37.369090899999996,4293,44,2164,2085,"Tula Oblast, Russia",287.76255065002965,1.024924295364547,Russia,Tula Oblast,2020-06-05 02:33:06
3426,,,57.1134475,35.174442799999994,1804,37,1294,473,"Tver Oblast, Russia",140.51234039503908,2.0509977827051,Russia,Tver Oblast,2020-06-05 02:33:06
3427,,,58.8206488,70.36588370000001,1798,9,962,827,"Tyumen Oblast, Russia",48.69461596793413,0.5005561735261401,Russia,Tyumen Oblast,2020-06-05 02:33:06
3428,,,51.401714899999995,93.8582593,1297,2,227,1068,"Tyva Republic, Russia",403.1430862670256,0.15420200462606015,Russia,Tyva Republic,2020-06-05 02:33:06
3430,,,57.1961165,52.69598320000001,822,12,455,355,"Udmurt Republic, Russia",54.32756747325259,1.45985401459854,Russia,Udmurt Republic,2020-06-05 02:33:06
3431,,,54.146317700000004,47.2324921,2870,12,861,1997,"Ulyanovsk Oblast, Russia",230.22289105403578,0.4181184668989547,Russia,Ulyanovsk Oblast,2020-06-05 02:33:06
3450,,,56.0503336,40.656163299999996,2908,27,988,1893,"Vladimir Oblast, Russia",210.97888252292438,0.9284731774415406,Russia,Vladimir Oblast,2020-06-05 02:33:06
3451,,,49.604833899999996,44.29035820000001,3541,21,1235,2285,"Volgograd Oblast, Russia",140.4447589236561,0.5930528099406948,Russia,Volgograd Oblast,2020-06-05 02:33:06
3452,,,60.0391461,43.1215213,1018,11,466,541,"Vologda Oblast, Russia",86.51393868728269,1.080550098231827,Russia,Vologda Oblast,2020-06-05 02:33:06
3454,,,50.9800393,40.15065070000001,2466,16,1595,855,"Voronezh Oblast, Russia",105.66603021380017,0.64882400648824,Russia,Voronezh Oblast,2020-06-05 02:33:06
3460,,,67.1471631,74.3415488,2534,11,1307,1216,"Yamalo-Nenets Autonomous Okrug, Russia",470.5253209097813,0.4340962904498816,Russia,Yamalo-Nenets Autonomous Okrug,2020-06-05 02:33:06
3462,,,57.77819760000001,39.002109499999996,3430,15,951,2464,"Yaroslavl Oblast, Russia",270.99971240846844,0.43731778425655976,Russia,Yaroslavl Oblast,2020-06-05 02:33:06
3466,,,52.248521000000004,115.956325,1257,24,708,525,"Zabaykalsky Krai, Russia",117.16936706170547,1.9093078758949882,Russia,Zabaykalsky Krai,2020-06-05 02:33:06
