,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
3031,,,Adygea Republic,Russia,2020-06-03 02:33:13,44.6939006,40.1520421,890,9,413,468,"Adygea Republic, Russia",196.30505364201017,1.0112359550561798
3037,,,Altai Krai,Russia,2020-06-03 02:33:13,52.693224300000004,82.69314240000001,1985,12,833,1140,"Altai Krai, Russia",84.46520969498911,0.6045340050377834
3038,,,Altai Republic,Russia,2020-06-03 02:33:13,50.7114101,86.8572186,133,0,80,53,"Altai Republic, Russia",60.99154831401935,0.0
3043,,,Amur Oblast,Russia,2020-06-03 02:33:13,52.8032368,128.437295,546,5,188,353,"Amur Oblast, Russia",68.38471789425168,0.9157509157509156
3057,,,Arkhangelsk Oblast,Russia,2020-06-03 02:33:13,63.5589686,43.1221646,2124,7,659,1458,"Arkhangelsk Oblast, Russia",183.8916459168089,0.3295668549905838
3059,,,Astrakhan Oblast,Russia,2020-06-03 02:33:13,47.1878186,47.608851,1937,19,1014,904,"Astrakhan Oblast, Russia",190.36593108301213,0.9808982963345381
3071,,,Bashkortostan Republic,Russia,2020-06-03 02:33:13,54.8573563,57.1439682,3409,18,1138,2253,"Bashkortostan Republic, Russia",83.89746936782555,0.5280140803754767
3075,,,Belgorod Oblast,Russia,2020-06-03 02:33:13,50.7080119,37.5837615,2471,20,999,1452,"Belgorod Oblast, Russia",159.43210940746226,0.8093889113719142
3086,,,Bryansk Oblast,Russia,2020-06-03 02:33:13,52.887331499999995,33.41585300000001,3885,31,2422,1432,"Bryansk Oblast, Russia",320.8140170539281,0.797940797940798
3087,,,Buryatia Republic,Russia,2020-06-03 02:33:13,52.718242599999996,109.492143,1563,10,874,679,"Buryatia Republic, Russia",158.7590184365639,0.6397952655150352
3109,,,Chechen Republic,Russia,2020-06-03 02:33:13,43.39761470000001,45.6985005,1264,13,847,404,"Chechen Republic, Russia",87.96219295870995,1.0284810126582278
3110,,,Chelyabinsk Oblast,Russia,2020-06-03 02:33:13,54.4223954,61.1865846,3042,19,1336,1687,"Chelyabinsk Oblast, Russia",87.08756508664669,0.6245890861275477
3119,,,Chukotka Autonomous Okrug,Russia,2020-06-03 02:33:13,66.0006475,169.4900869,81,1,56,24,"Chukotka Autonomous Okrug, Russia",164.14039069465838,1.2345679012345678
3120,,,Chuvashia Republic,Russia,2020-06-03 02:33:13,55.4259922,47.0849429,3061,14,1319,1728,"Chuvashia Republic, Russia",248.63599479172169,0.4573668735707285
3130,,,Dagestan Republic,Russia,2020-06-03 02:33:13,43.05749160000001,47.1332224,5228,271,4457,500,"Dagestan Republic, Russia",170.63303616160528,5.18362662586075
3184,,,Ingushetia Republic,Russia,2020-06-03 02:33:13,43.11542075,45.01713552,2164,52,906,1206,"Ingushetia Republic, Russia",443.40355255581983,2.4029574861367844
3186,,,Irkutsk Oblast,Russia,2020-06-03 02:33:13,56.6370122,104.71922099999999,2189,13,405,1771,"Irkutsk Oblast, Russia",91.04918694199098,0.5938784833257195
3190,,,Ivanovo Oblast,Russia,2020-06-03 02:33:13,56.9167446,41.43521370000001,2140,18,864,1258,"Ivanovo Oblast, Russia",210.91099753017312,0.8411214953271028
3192,,,Jewish Autonomous Okrug,Russia,2020-06-03 02:33:13,48.57527615,132.66307460000002,314,3,211,100,"Jewish Autonomous Okrug, Russia",193.81041144592442,0.9554140127388536
3197,,,Kabardino-Balkarian Republic,Russia,2020-06-03 02:33:13,43.480604799999995,43.5978976,2978,21,1272,1685,"Kabardino-Balkarian Republic, Russia",343.94822066276436,0.7051712558764271
3200,,,Kaliningrad Oblast,Russia,2020-06-03 02:33:13,54.7293041,21.1489473,1607,24,670,913,"Kaliningrad Oblast, Russia",161.57265390373408,1.4934660858743
3201,,,Kalmykia Republic,Russia,2020-06-03 02:33:13,46.2313018,45.3275745,1085,15,518,552,"Kalmykia Republic, Russia",393.9538075544728,1.3824884792626728
3202,,,Kaluga Oblast,Russia,2020-06-03 02:33:13,54.438277299999996,35.5272854,4092,32,1614,2446,"Kaluga Oblast, Russia",404.3254523465105,0.7820136852394917
3203,,,Kamchatka Krai,Russia,2020-06-03 02:33:13,57.191488199999995,160.03838190000005,916,8,269,639,"Kamchatka Krai, Russia",290.28036139271194,0.8733624454148472
3205,,,Karachay-Cherkess Republic,Russia,2020-06-03 02:33:13,43.7368326,41.7267991,1204,5,340,859,"Karachay-Cherkess Republic, Russia",258.2001050814381,0.4152823920265781
