,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
3077,,,Adygea Republic,Russia,2020-06-21 04:33:19,44.6939006,40.1520421,1511,12,946,553,"Adygea Republic, Russia",333.27745623941274,0.7941760423560555
3083,,,Altai Krai,Russia,2020-06-21 04:33:19,52.693224300000004,82.69314240000001,3226,25,2292,909,"Altai Krai, Russia",137.27192265795208,0.7749535027898327
3084,,,Altai Republic,Russia,2020-06-21 04:33:19,50.7114101,86.8572186,396,0,171,225,"Altai Republic, Russia",181.5988957319674,0.0
3089,,,Amur Oblast,Russia,2020-06-21 04:33:19,52.8032368,128.437295,1283,7,515,761,"Amur Oblast, Russia",160.6915623778844,0.5455962587685113
3105,,,Arkhangelsk Oblast,Russia,2020-06-21 04:33:19,63.5589686,43.1221646,4395,27,1660,2708,"Arkhangelsk Oblast, Russia",380.5102560284252,0.6143344709897611
3109,,,Astrakhan Oblast,Russia,2020-06-21 04:33:19,47.1878186,47.608851,3103,27,2053,1023,"Astrakhan Oblast, Russia",304.9589489677783,0.8701256848211408
3123,,,Bashkortostan Republic,Russia,2020-06-21 04:33:19,54.8573563,57.1439682,4850,18,2358,2474,"Bashkortostan Republic, Russia",119.3613160557213,0.3711340206185567
3127,,,Belgorod Oblast,Russia,2020-06-21 04:33:19,50.7080119,37.5837615,3820,38,2678,1104,"Belgorod Oblast, Russia",246.47133060967457,0.9947643979057592
3140,,,Bryansk Oblast,Russia,2020-06-21 04:33:19,52.887331499999995,33.41585300000001,5498,32,4034,1432,"Bryansk Oblast, Russia",454.01170289896965,0.5820298290287377
3141,,,Buryatia Republic,Russia,2020-06-21 04:33:19,52.718242599999996,109.492143,2501,14,1610,877,"Buryatia Republic, Russia",254.034744152173,0.5597760895641744
3164,,,Chechen Republic,Russia,2020-06-21 04:33:19,43.39761470000001,45.6985005,1579,20,1153,406,"Chechen Republic, Russia",109.88315085585684,1.266624445851805
3165,,,Chelyabinsk Oblast,Russia,2020-06-21 04:33:19,54.4223954,61.1865846,5467,61,2888,2518,"Chelyabinsk Oblast, Russia",156.51141299431208,1.1157856228278764
3175,,,Chukotka Autonomous Okrug,Russia,2020-06-21 04:33:19,66.0006475,169.4900869,132,1,98,33,"Chukotka Autonomous Okrug, Russia",267.4880440949988,0.7575757575757576
3176,,,Chuvashia Republic,Russia,2020-06-21 04:33:19,55.4259922,47.0849429,4472,23,2506,1943,"Chuvashia Republic, Russia",363.24735991786315,0.5143112701252236
3187,,,Dagestan Republic,Russia,2020-06-21 04:33:19,43.05749160000001,47.1332224,7103,344,4905,1854,"Dagestan Republic, Russia",231.82985001068906,4.843024074334789
3254,,,Ingushetia Republic,Russia,2020-06-21 04:33:19,43.11542075,45.01713552,2782,64,2254,464,"Ingushetia Republic, Russia",570.031739006604,2.3005032350826737
3256,,,Irkutsk Oblast,Russia,2020-06-21 04:33:19,56.6370122,104.71922099999999,5143,40,1624,3479,"Irkutsk Oblast, Russia",213.91775625521225,0.7777561734396267
3261,,,Ivanovo Oblast,Russia,2020-06-21 04:33:19,56.9167446,41.43521370000001,3934,35,2275,1624,"Ivanovo Oblast, Russia",387.7214319082715,0.8896797153024911
3265,,,Jewish Autonomous Okrug,Russia,2020-06-21 04:33:19,48.57527615,132.66307460000002,394,5,315,74,"Jewish Autonomous Okrug, Russia",243.18886022195613,1.269035532994924
3272,,,Kabardino-Balkarian Republic,Russia,2020-06-21 04:33:19,43.480604799999995,43.5978976,4361,43,2305,2013,"Kabardino-Balkarian Republic, Russia",503.679714677742,0.9860123824810824
3275,,,Kaliningrad Oblast,Russia,2020-06-21 04:33:19,54.7293041,21.1489473,2262,33,1210,1019,"Kaliningrad Oblast, Russia",227.42834046686158,1.4588859416445623
3277,,,Kalmykia Republic,Russia,2020-06-21 04:33:19,46.2313018,45.3275745,1314,18,932,364,"Kalmykia Republic, Russia",477.10166186781305,1.3698630136986298
3278,,,Kaluga Oblast,Russia,2020-06-21 04:33:19,54.438277299999996,35.5272854,5522,42,2853,2627,"Kaluga Oblast, Russia",545.621981392334,0.7605939876856211
3279,,,Kamchatka Krai,Russia,2020-06-21 04:33:19,57.191488199999995,160.03838190000005,1714,22,550,1142,"Kamchatka Krai, Russia",543.1665277588518,1.2835472578763127
3281,,,Karachay-Cherkess Republic,Russia,2020-06-21 04:33:19,43.7368326,41.7267991,2730,9,897,1824,"Karachay-Cherkess Republic, Russia",585.4537266381445,0.3296703296703297
3282,,,Karelia Republic,Russia,2020-06-21 04:33:19,62.61940309999999,33.4920267,960,2,395,563,"Karelia Republic, Russia",154.2208313787985,0.20833333333333331
3284,,,Kemerovo Oblast,Russia,2020-06-21 04:33:19,54.53357809999999,87.342861,1218,7,510,701,"Kemerovo Oblast, Russia",45.196867983214084,0.5747126436781609
3286,,,Khabarovsk Krai,Russia,2020-06-21 04:33:19,51.6312684,136.121524,3447,23,1762,1662,"Khabarovsk Krai, Russia",259.50423924679785,0.6672468813460981
3287,,,Khakassia Republic,Russia,2020-06-21 04:33:19,53.72258845,91.44293627,1537,13,1159,365,"Khakassia Republic, Russia",285.9465724549918,0.8458035133376708
3288,,,Khanty-Mansi Autonomous Okrug,Russia,2020-06-21 04:33:19,61.0259025,69.0982628,5992,33,2997,2962,"Khanty-Mansi Autonomous Okrug, Russia",391.0606868492792,0.5507343124165555
3295,,,Kirov Oblast,Russia,2020-06-21 04:33:19,57.9665589,49.4074599,2820,30,2029,761,"Kirov Oblast, Russia",219.75658451510944,1.0638297872340423
3298,,,Komi Republic,Russia,2020-06-21 04:33:19,63.9881421,54.3326073,2744,28,1212,1504,"Komi Republic, Russia",326.32751913784836,1.020408163265306
3299,,,Kostroma Oblast,Russia,2020-06-21 04:33:19,58.424756,44.253327299999995,1298,14,714,570,"Kostroma Oblast, Russia",201.7645851856918,1.078582434514638
3300,,,Krasnodar Krai,Russia,2020-06-21 04:33:19,45.768401399999995,39.0261044,5376,60,4145,1171,"Krasnodar Krai, Russia",95.94140721202407,1.1160714285714286
3301,,,Krasnoyarsk Krai,Russia,2020-06-21 04:33:19,63.3233807,97.09799740000001,7432,86,2673,4673,"Krasnoyarsk Krai, Russia",258.36981578635397,1.1571582346609257
3304,,,Kurgan Oblast,Russia,2020-06-21 04:33:19,55.7655302,64.5632681,501,0,272,229,"Kurgan Oblast, Russia",59.25228582545767,0.0
3305,,,Kursk Oblast,Russia,2020-06-21 04:33:19,51.6568453,36.4852695,4403,26,2565,1812,"Kursk Oblast, Russia",394.8039744018536,0.5905064728594139
3313,,,Leningrad Oblast,Russia,2020-06-21 04:33:19,60.185329599999996,32.3925325,3912,25,3725,162,"Leningrad Oblast, Russia",215.6778857392371,0.6390593047034765
3317,,,Lipetsk Oblast,Russia,2020-06-21 04:33:19,52.693517799999995,39.112266399999996,3337,11,1636,1690,"Lipetsk Oblast, Russia",290.1232045529434,0.3296373988612526
3328,,,Magadan Oblast,Russia,2020-06-21 04:33:19,62.48858785,153.9903764,559,4,258,297,"Magadan Oblast, Russia",387.94928205092623,0.7155635062611807
3336,,,Mari El Republic,Russia,2020-06-21 04:33:19,56.576750399999995,47.881751200000004,2642,20,2543,79,"Mari El Republic, Russia",387.2009707869911,0.757002271006813
3357,,,Mordovia Republic,Russia,2020-06-21 04:33:19,54.4419829,44.466114399999995,2931,23,1817,1091,"Mordovia Republic, Russia",364.07405199141436,0.7847151142954623
3359,,,Moscow,Russia,2020-06-21 04:33:19,55.7504461,37.6174943,212978,3565,134549,74864,"Moscow, Russia",1702.9428292624264,1.6738818093887633
3360,,,Moscow Oblast,Russia,2020-06-21 04:33:19,55.50431579999999,38.0353929,53320,778,22596,29946,"Moscow Oblast, Russia",710.6126101752742,1.4591147786946737
3362,,,Murmansk Oblast,Russia,2020-06-21 04:33:19,68.00004179999999,33.9999151,4346,9,3020,1317,"Murmansk Oblast, Russia",576.7314217769858,0.20708697653014266
3371,,,Nenets Autonomous Okrug,Russia,2020-06-21 04:33:19,68.27557185,57.1686375,95,0,33,62,"Nenets Autonomous Okrug, Russia",215.92381298724914,0.0
3379,,,Nizhny Novgorod Oblast,Russia,2020-06-21 04:33:19,55.47180329999999,44.091159399999995,15328,193,8334,6801,"Nizhny Novgorod Oblast, Russia",473.85394614486677,1.259133611691023
3383,,,North Ossetia - Alania Republic,Russia,2020-06-21 04:33:19,42.79336110000001,44.6324493,3737,66,3334,337,"North Ossetia - Alania Republic, Russia",532.5144457190084,1.766122558201766
3389,,,Novgorod Oblast,Russia,2020-06-21 04:33:19,58.2843833,32.516975699999996,2362,20,588,1754,"Novgorod Oblast, Russia",389.4630620172932,0.8467400508044031
3390,,,Novosibirsk Oblast,Russia,2020-06-21 04:33:19,54.9720169,79.48139240000002,4928,68,2715,2145,"Novosibirsk Oblast, Russia",176.70372257515555,1.37987012987013
3400,,,Omsk Oblast,Russia,2020-06-21 04:33:19,56.09352629999999,73.5099936,2821,25,1602,1194,"Omsk Oblast, Russia",143.9226236058612,0.8862105636299185
3403,,,Orel Oblast,Russia,2020-06-21 04:33:19,52.96854329999999,36.0692477,4068,45,2128,1895,"Orel Oblast, Russia",544.3983047104906,1.106194690265487
3404,,,Orenburg Oblast,Russia,2020-06-21 04:33:19,52.02692620000001,54.7276647,3125,14,2373,738,"Orenburg Oblast, Russia",158.01023400683616,0.44799999999999995
3414,,,Penza Oblast,Russia,2020-06-21 04:33:19,53.1655415,44.78791810000001,4224,34,3667,523,"Penza Oblast, Russia",317.19927458688625,0.8049242424242424
3415,,,Perm Krai,Russia,2020-06-21 04:33:19,58.5951603,56.3159546,3069,63,2140,866,"Perm Krai, Russia",116.99798941871555,2.0527859237536656
3422,,,Primorsky Krai,Russia,2020-06-21 04:33:19,45.0819456,134.726645,3464,33,2014,1417,"Primorsky Krai, Russia",181.0733404529029,0.9526558891454964
3424,,,Pskov Oblast,Russia,2020-06-21 04:33:19,57.535872899999994,28.8586826,2183,19,665,1499,"Pskov Oblast, Russia",342.9445790249252,0.8703618873110398
3450,,,Rostov Oblast,Russia,2020-06-21 04:33:19,47.6222451,40.7957942,8381,85,4018,4278,"Rostov Oblast, Russia",198.58062596138996,1.0141987829614605
3451,,,Ryazan Oblast,Russia,2020-06-21 04:33:19,54.42267320000001,40.57052460000001,4759,16,2936,1807,"Ryazan Oblast, Russia",424.35223643169616,0.33620508510191216
3457,,,Saint Petersburg,Russia,2020-06-21 04:33:19,59.960673899999996,30.158655100000004,21966,814,12965,8187,"Saint Petersburg, Russia",410.43099364996027,3.7057270326868794
3460,,,Sakha (Yakutiya) Republic,Russia,2020-06-21 04:33:19,66.941626,129.642371,3570,23,2416,1131,"Sakha (Yakutiya) Republic, Russia",370.2052202047017,0.6442577030812325
3461,,,Sakhalin Oblast,Russia,2020-06-21 04:33:19,49.7219665,143.448533,495,0,102,393,"Sakhalin Oblast, Russia",100.98310624034795,0.0
3462,,,Samara Oblast,Russia,2020-06-21 04:33:19,53.2128813,50.8914633,4250,53,2196,2001,"Samara Oblast, Russia",133.0822410673634,1.2470588235294118
3469,,,Saratov Oblast,Russia,2020-06-21 04:33:19,51.652055499999996,46.86319520000001,5335,41,2595,2699,"Saratov Oblast, Russia",216.6101626098784,0.7685098406747891
3490,,,Smolensk Oblast,Russia,2020-06-21 04:33:19,55.03434960000001,33.0192065,4163,59,1820,2284,"Smolensk Oblast, Russia",438.51148367089826,1.4172471775162143
3495,,,Stavropol Krai,Russia,2020-06-21 04:33:19,44.86325770000001,43.4406913,4248,82,2351,1815,"Stavropol Krai, Russia",151.6777747070884,1.9303201506591336
3499,,,Sverdlovsk Oblast,Russia,2020-06-21 04:33:19,58.6414755,61.802154599999994,10725,69,5359,5297,"Sverdlovsk Oblast, Russia",247.96220154367745,0.6433566433566433
3503,,,Tambov Oblast,Russia,2020-06-21 04:33:19,52.9019574,41.3578918,4265,15,2246,2004,"Tambov Oblast, Russia",412.6546124433023,0.3516998827667057
3507,,,Tatarstan Republic,Russia,2020-06-21 04:33:19,55.7648572,52.43104273,4152,11,3640,501,"Tatarstan Republic, Russia",106.61780188604631,0.2649325626204239
3519,,,Tomsk Oblast,Russia,2020-06-21 04:33:19,58.6124279,82.04753149999998,1667,14,779,874,"Tomsk Oblast, Russia",154.5980635827429,0.8398320335932813
3524,,,Tula Oblast,Russia,2020-06-21 04:33:19,53.9570701,37.369090899999996,5887,78,4485,1324,"Tula Oblast, Russia",394.60939568523753,1.3249532869033465
3527,,,Tver Oblast,Russia,2020-06-21 04:33:19,57.1134475,35.174442799999994,3068,57,1955,1056,"Tver Oblast, Russia",238.96444586029926,1.8578878748370276
3528,,,Tyumen Oblast,Russia,2020-06-21 04:33:19,58.8206488,70.36588370000001,2529,16,1503,1010,"Tyumen Oblast, Russia",68.49203769905752,0.6326611308817714
3529,,,Tyva Republic,Russia,2020-06-21 04:33:19,51.401714899999995,93.8582593,3138,3,553,2582,"Tyva Republic, Russia",975.376256519604,0.09560229445506692
3531,,,Udmurt Republic,Russia,2020-06-21 04:33:19,57.1961165,52.69598320000001,1216,15,827,374,"Udmurt Republic, Russia",80.36778837892355,1.2335526315789471
3532,,,Ulyanovsk Oblast,Russia,2020-06-21 04:33:19,54.146317700000004,47.2324921,4700,34,1938,2728,"Ulyanovsk Oblast, Russia",377.02006548918763,0.7234042553191491
3560,,,Vladimir Oblast,Russia,2020-06-21 04:33:19,56.0503336,40.656163299999996,3850,50,2169,1631,"Vladimir Oblast, Russia",279.3221106304191,1.2987012987012987
3561,,,Volgograd Oblast,Russia,2020-06-21 04:33:19,49.604833899999996,44.29035820000001,5312,32,2289,2991,"Volgograd Oblast, Russia",210.68696961379877,0.6024096385542169
3562,,,Vologda Oblast,Russia,2020-06-21 04:33:19,60.0391461,43.1215213,1408,16,966,426,"Vologda Oblast, Russia",119.65778553211595,1.1363636363636365
3564,,,Voronezh Oblast,Russia,2020-06-21 04:33:19,50.9800393,40.15065070000001,5663,30,3044,2589,"Voronezh Oblast, Russia",242.65479687783875,0.5297545470598622
3572,,,Yamalo-Nenets Autonomous Okrug,Russia,2020-06-21 04:33:19,67.1471631,74.3415488,3966,25,1791,2150,"Yamalo-Nenets Autonomous Okrug, Russia",736.4259758201234,0.6303580433686334
3574,,,Yaroslavl Oblast,Russia,2020-06-21 04:33:19,57.77819760000001,39.002109499999996,4342,17,2399,1926,"Yaroslavl Oblast, Russia",343.0556126173674,0.39152464302164897
