,FIPS,Admin2,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,Country/Region,Province/State,Last Update
3041,,,44.6939006,40.1520421,1069,10,606,453,"Adygea Republic, Russia",235.78663184641445,0.9354536950420954,Russia,Adygea Republic,2020-06-09 03:33:03
3047,,,52.6932243,82.69314240000001,2390,14,1107,1269,"Altai Krai, Russia",101.69866557734206,0.5857740585774058,Russia,Altai Krai,2020-06-09 03:33:03
3048,,,50.7114101,86.8572186,180,0,101,79,"Altai Republic, Russia",82.54495260543972,0.0,Russia,Altai Republic,2020-06-09 03:33:03
3053,,,52.8032368,128.437295,748,5,252,491,"Amur Oblast, Russia",93.6845585804034,0.6684491978609626,Russia,Amur Oblast,2020-06-09 03:33:03
3067,,,63.5589686,43.1221646,2989,10,858,2121,"Arkhangelsk Oblast, Russia",258.7816052944171,0.3345600535296085,Russia,Arkhangelsk Oblast,2020-06-09 03:33:03
3069,,,47.1878186,47.608851,2337,22,1294,1021,"Astrakhan Oblast, Russia",229.67742949974152,0.94137783483098,Russia,Astrakhan Oblast,2020-06-09 03:33:03
3081,,,54.8573563,57.1439682,4017,18,1453,2546,"Bashkortostan Republic, Russia",98.8607023908933,0.4480955937266617,Russia,Bashkortostan Republic,2020-06-09 03:33:03
3085,,,50.7080119,37.5837615,2913,27,1356,1530,"Belgorod Oblast, Russia",187.95051991256076,0.9268795056642636,Russia,Belgorod Oblast,2020-06-09 03:33:03
3097,,,52.8873315,33.41585300000001,4458,31,3021,1406,"Bryansk Oblast, Russia",368.1309879089863,0.6953790937640197,Russia,Bryansk Oblast,2020-06-09 03:33:03
3098,,,52.7182426,109.492143,1833,11,1067,755,"Buryatia Republic, Russia",186.18380089201645,0.6001091107474086,Russia,Buryatia Republic,2020-06-09 03:33:03
3120,,,43.39761470000001,45.6985005,1365,15,993,357,"Chechen Republic, Russia",94.99081755430308,1.0989010989010992,Russia,Chechen Republic,2020-06-09 03:33:03
3121,,,54.4223954,61.1865846,3737,31,1801,1905,"Chelyabinsk Oblast, Russia",106.98429675502916,0.8295424137008296,Russia,Chelyabinsk Oblast,2020-06-09 03:33:03
3130,,,66.0006475,169.4900869,106,1,65,40,"Chukotka Autonomous Okrug, Russia",214.80100510658997,0.9433962264150944,Russia,Chukotka Autonomous Okrug,2020-06-09 03:33:03
3131,,,55.4259922,47.0849429,3561,16,1727,1818,"Chuvashia Republic, Russia",289.2495189328065,0.4493119910137602,Russia,Chuvashia Republic,2020-06-09 03:33:03
3141,,,43.05749160000001,47.1332224,5970,308,4587,1075,"Dagestan Republic, Russia",194.85065529548268,5.159128978224456,Russia,Dagestan Republic,2020-06-09 03:33:03
3201,,,43.11542075,45.01713552,2368,61,1508,799,"Ingushetia Republic, Russia",485.20314808326316,2.5760135135135136,Russia,Ingushetia Republic,2020-06-09 03:33:03
3203,,,56.6370122,104.719221,2877,16,725,2136,"Irkutsk Oblast, Russia",119.66583409415622,0.5561348627042058,Russia,Irkutsk Oblast,2020-06-09 03:33:03
3207,,,56.9167446,41.43521370000001,2822,22,1091,1709,"Ivanovo Oblast, Russia",278.126558425303,0.7795889440113395,Russia,Ivanovo Oblast,2020-06-09 03:33:03
3210,,,48.57527615,132.66307460000002,347,4,250,93,"Jewish Autonomous Okrug, Russia",214.17902156603748,1.1527377521613833,Russia,Jewish Autonomous Okrug,2020-06-09 03:33:03
3216,,,43.4806048,43.5978976,3424,33,1649,1742,"Kabardino-Balkarian Republic, Russia",395.45960629593867,0.963785046728972,Russia,Kabardino-Balkarian Republic,2020-06-09 03:33:03
3219,,,54.7293041,21.1489473,1813,24,782,1007,"Kaliningrad Oblast, Russia",182.28451868541995,1.323772752344181,Russia,Kaliningrad Oblast,2020-06-09 03:33:03
