,FIPS,Admin2,Province/State,Country/Region,Last Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
3227,,,Kurgan Oblast,Russia,2020-06-04 02:33:14,55.7655302,64.5632681,255,0,144,111,"Kurgan Oblast, Russia",30.15834907283773,0.0
3228,,,Kursk Oblast,Russia,2020-06-04 02:33:14,51.6568453,36.4852695,3199,13,1513,1673,"Kursk Oblast, Russia",286.8448589851305,0.4063769928102532
3235,,,Leningrad Oblast,Russia,2020-06-04 02:33:14,60.185329599999996,32.3925325,2982,15,1751,1216,"Leningrad Oblast, Russia",164.4047687306761,0.5030181086519114
3239,,,Lipetsk Oblast,Russia,2020-06-04 02:33:14,52.693517799999995,39.112266399999996,2326,7,789,1530,"Lipetsk Oblast, Russia",202.22552406057724,0.3009458297506449
3249,,,Magadan Oblast,Russia,2020-06-04 02:33:14,62.48858785,153.9903764,260,3,201,56,"Magadan Oblast, Russia",180.4415265353145,1.1538461538461535
3255,,,Mari El Republic,Russia,2020-06-04 02:33:14,56.576750399999995,47.881751200000004,1894,13,1513,368,"Mari El Republic, Russia",277.5770774680398,0.6863780359028511
3274,,,Mordovia Republic,Russia,2020-06-04 02:33:14,54.4419829,44.466114399999995,2012,14,954,1044,"Mordovia Republic, Russia",249.92050242467602,0.6958250497017893
3276,,,Moscow,Russia,2020-06-04 02:33:14,55.7504461,37.6174943,187216,2685,91654,92877,"Moscow, Russia",1496.9534164242057,1.4341722929664131
3277,,,Moscow Oblast,Russia,2020-06-04 02:33:14,55.50431579999999,38.0353929,41191,515,9311,31365,"Moscow Oblast, Russia",548.9655668741508,1.2502731179141076
3279,,,Murmansk Oblast,Russia,2020-06-04 02:33:14,68.00004179999999,33.9999151,3342,7,2375,960,"Murmansk Oblast, Russia",443.49664325326415,0.2094554159186116
3287,,,Nenets Autonomous Okrug,Russia,2020-06-04 02:33:14,68.27557185,57.1686375,74,0,15,59,"Nenets Autonomous Okrug, Russia",168.19328590585718,0.0
3295,,,Nizhny Novgorod Oblast,Russia,2020-06-04 02:33:14,55.47180329999999,44.091159399999995,10850,116,4252,6482,"Nizhny Novgorod Oblast, Russia",335.4198405318244,1.0691244239631337
3298,,,North Ossetia - Alania Republic,Russia,2020-06-04 02:33:14,42.79336110000001,44.6324493,3104,57,2231,816,"North Ossetia - Alania Republic, Russia",442.31331001118616,1.8363402061855667
3303,,,Novgorod Oblast,Russia,2020-06-04 02:33:14,58.2843833,32.516975699999996,1493,8,416,1069,"Novgorod Oblast, Russia",246.17627078400463,0.535833891493637
3304,,,Novosibirsk Oblast,Russia,2020-06-04 02:33:14,54.9720169,79.48139240000002,3122,34,1235,1853,"Novosibirsk Oblast, Russia",111.94582424505592,1.0890454836643175
3313,,,Omsk Oblast,Russia,2020-06-04 02:33:14,56.09352629999999,73.5099936,1482,18,437,1027,"Omsk Oblast, Russia",75.60912023533722,1.214574898785425
3315,,,Orel Oblast,Russia,2020-06-04 02:33:14,52.96854329999999,36.0692477,2443,27,1274,1142,"Orel Oblast, Russia",326.9333968553905,1.1051985264019648
3316,,,Orenburg Oblast,Russia,2020-06-04 02:33:14,52.02692620000001,54.7276647,2085,8,1241,836,"Orenburg Oblast, Russia",105.42442812936108,0.3836930455635492
3325,,,Penza Oblast,Russia,2020-06-04 02:33:14,53.1655415,44.78791810000001,2585,22,2048,515,"Penza Oblast, Russia",194.1193477289538,0.851063829787234
3326,,,Perm Krai,Russia,2020-06-04 02:33:14,58.5951603,56.3159546,1911,22,1221,668,"Perm Krai, Russia",72.85212048848662,1.1512297226582942
3333,,,Primorsky Krai,Russia,2020-06-04 02:33:14,45.0819456,134.726645,2155,19,1223,913,"Primorsky Krai, Russia",112.64810874018643,0.8816705336426914
3335,,,Pskov Oblast,Russia,2020-06-04 02:33:14,57.535872899999994,28.8586826,954,10,368,576,"Pskov Oblast, Russia",149.87133687117662,1.0482180293501049
3357,,,Rostov Oblast,Russia,2020-06-04 02:33:14,47.6222451,40.7957942,5373,40,1950,3383,"Rostov Oblast, Russia",127.30863897990072,0.7444630560208451
3358,,,Ryazan Oblast,Russia,2020-06-04 02:33:14,54.42267320000001,40.57052460000001,3728,9,1169,2550,"Ryazan Oblast, Russia",332.419654847103,0.24141630901287556
3364,,,Saint Petersburg,Russia,2020-06-04 02:33:14,59.960673899999996,30.158655100000004,17069,240,6331,10498,"Saint Petersburg, Russia",318.93137715611266,1.4060577655398676
3367,,,Sakha (Yakutiya) Republic,Russia,2020-06-04 02:33:14,66.941626,129.642371,2214,9,1015,1190,"Sakha (Yakutiya) Republic, Russia",229.58945589165532,0.4065040650406504
3368,,,Sakhalin Oblast,Russia,2020-06-04 02:33:14,49.7219665,143.448533,143,0,62,81,"Sakhalin Oblast, Russia",29.172897358322743,0.0
3369,,,Samara Oblast,Russia,2020-06-04 02:33:14,53.2128813,50.8914633,2770,23,1138,1609,"Samara Oblast, Russia",86.7383077074345,0.8303249097472925
3376,,,Saratov Oblast,Russia,2020-06-04 02:33:14,51.652055499999996,46.86319520000001,3363,34,1288,2041,"Saratov Oblast, Russia",136.54357579325605,1.0110020814748737
3393,,,Smolensk Oblast,Russia,2020-06-04 02:33:14,55.03434960000001,33.0192065,2536,41,880,1615,"Smolensk Oblast, Russia",267.130704441364,1.616719242902208
3397,,,Stavropol Krai,Russia,2020-06-04 02:33:14,44.86325770000001,43.4406913,2733,50,1265,1418,"Stavropol Krai, Russia",97.58365307779484,1.8294914013904136
3400,,,Sverdlovsk Oblast,Russia,2020-06-04 02:33:14,58.6414755,61.802154599999994,6381,33,2680,3668,"Sverdlovsk Oblast, Russia",147.5288399114411,0.5171603196991067
3404,,,Tambov Oblast,Russia,2020-06-04 02:33:14,52.9019574,41.3578918,3175,8,1272,1895,"Tambov Oblast, Russia",307.1930585011688,0.2519685039370079
3407,,,Tatarstan Republic,Russia,2020-06-04 02:33:14,55.7648572,52.43104273,3351,10,2991,350,"Tatarstan Republic, Russia",86.04919415224981,0.2984183825723665
3418,,,Tomsk Oblast,Russia,2020-06-04 02:33:14,58.6124279,82.04753149999998,765,11,359,395,"Tomsk Oblast, Russia",70.94632192009496,1.437908496732026
3422,,,Tula Oblast,Russia,2020-06-04 02:33:14,53.9570701,37.369090899999996,4183,42,2037,2104,"Tula Oblast, Russia",280.3891799135975,1.0040640688501077
3425,,,Tver Oblast,Russia,2020-06-04 02:33:14,57.1134475,35.174442799999994,1731,33,1229,469,"Tver Oblast, Russia",134.82641974712453,1.9064124783362215
3426,,,Tyumen Oblast,Russia,2020-06-04 02:33:14,58.8206488,70.36588370000001,1749,8,922,819,"Tyumen Oblast, Russia",47.36756581085473,0.4574042309891366
3427,,,Tyva Republic,Russia,2020-06-04 02:33:14,51.401714899999995,93.8582593,1221,2,227,992,"Tyva Republic, Russia",379.5202068866909,0.1638001638001638
3429,,,Udmurt Republic,Russia,2020-06-04 02:33:14,57.1961165,52.69598320000001,770,12,438,320,"Udmurt Republic, Russia",50.89078704915389,1.5584415584415583
3430,,,Ulyanovsk Oblast,Russia,2020-06-04 02:33:14,54.146317700000004,47.2324921,2770,12,832,1926,"Ulyanovsk Oblast, Russia",222.20118753298922,0.4332129963898917
3449,,,Vladimir Oblast,Russia,2020-06-04 02:33:14,56.0503336,40.656163299999996,2853,27,941,1885,"Vladimir Oblast, Russia",206.98856665677556,0.946372239747634
3450,,,Volgograd Oblast,Russia,2020-06-04 02:33:14,49.604833899999996,44.29035820000001,3432,20,1165,2247,"Volgograd Oblast, Russia",136.12155115108382,0.5827505827505828
3451,,,Vologda Oblast,Russia,2020-06-04 02:33:14,60.0391461,43.1215213,998,11,439,548,"Vologda Oblast, Russia",84.81425423370152,1.1022044088176353
3453,,,Voronezh Oblast,Russia,2020-06-04 02:33:14,50.9800393,40.15065070000001,2361,16,1567,778,"Voronezh Oblast, Russia",101.16686834338287,0.6776789495976281
3459,,,Yamalo-Nenets Autonomous Okrug,Russia,2020-06-04 02:33:14,67.1471631,74.3415488,2479,11,1207,1261,"Yamalo-Nenets Autonomous Okrug, Russia",460.3126560912975,0.4437273093989512
3461,,,Yaroslavl Oblast,Russia,2020-06-04 02:33:14,57.77819760000001,39.002109499999996,3356,14,896,2446,"Yaroslavl Oblast, Russia",265.1530713827464,0.4171632896305125
3465,,,Zabaykalsky Krai,Russia,2020-06-04 02:33:14,52.248521000000004,115.956325,1218,22,633,563,"Zabaykalsky Krai, Russia",113.53404063735658,1.80623973727422
