,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Incidence_Rate,Case-Fatality_Ratio,Latitude,Longitude
3043,Adygea Republic,Russia,2020-06-10 04:07:00,1115,10,618,245.93273574251842,0.8968609865470852,44.6939006,40.1520421
3049,Altai Krai,Russia,2020-06-10 04:07:00,2458,15,1197,104.59218409586056,0.6102522375915378,52.6932243,82.69314240000001
3050,Altai Republic,Russia,2020-06-10 04:07:00,190,0,104,87.1307833057419,0.0,50.7114101,86.8572186
3055,Amur Oblast,Russia,2020-06-10 04:07:00,796,5,261,99.69640191176615,0.628140703517588,52.8032368,128.437295
3069,Arkhangelsk Oblast,Russia,2020-06-10 04:07:00,3085,10,897,267.09309211551584,0.3241491085899514,63.5589686,43.1221646
3071,Astrakhan Oblast,Russia,2020-06-10 04:07:00,2420,22,1362,237.83456542121291,0.9090909090909092,47.1878186,47.608851
3083,Bashkortostan Republic,Russia,2020-06-10 04:07:00,4113,18,1505,101.2233181313777,0.43763676148796504,54.8573563,57.1439682
3087,Belgorod Oblast,Russia,2020-06-10 04:07:00,2988,28,1467,192.78961671772453,0.9370816599732262,50.7080119,37.5837615
3099,Bryansk Oblast,Russia,2020-06-10 04:07:00,4551,31,3120,375.8107056917444,0.6811689738519007,52.8873315,33.41585300000001
3100,Buryatia Republic,Russia,2020-06-10 04:07:00,1877,11,1113,190.6530246995717,0.5860415556739478,52.7182426,109.492143
3122,Chechen Republic,Russia,2020-06-10 04:07:00,1384,16,1024,96.31303406238494,1.1560693641618498,43.39761470000001,45.6985005
3123,Chelyabinsk Oblast,Russia,2020-06-10 04:07:00,3880,33,1867,111.0781566522647,0.8505154639175257,54.4223954,61.1865846
3132,Chukotka Autonomous Okrug,Russia,2020-06-10 04:07:00,110,1,68,222.90670341249896,0.9090909090909092,66.0006475,169.4900869
3133,Chuvashia Republic,Russia,2020-06-10 04:07:00,3646,18,1769,296.153818036791,0.4936917169500823,55.4259922,47.0849429
3143,Dagestan Republic,Russia,2020-06-10 04:07:00,6077,309,4611,198.34295347247038,5.084745762711863,43.05749160000001,47.1332224
3203,Ingushetia Republic,Russia,2020-06-10 04:07:00,2399,62,1623,491.55504740360993,2.5844101709045435,43.11542075,45.01713552
3205,Irkutsk Oblast,Russia,2020-06-10 04:07:00,3083,18,820,128.23419065425225,0.5838469023678236,56.6370122,104.719221
3209,Ivanovo Oblast,Russia,2020-06-10 04:07:00,2930,25,1196,288.77066484271364,0.8532423208191127,56.9167446,41.43521370000001
3212,Jewish Autonomous Okrug,Russia,2020-06-10 04:07:00,350,4,256,216.0307133951387,1.1428571428571428,48.57527615,132.66307460000002
3218,Kabardino-Balkarian Republic,Russia,2020-06-10 04:07:00,3499,33,1753,404.1218348216968,0.943126607602172,43.4806048,43.5978976
3221,Kaliningrad Oblast,Russia,2020-06-10 04:07:00,1858,25,847,186.80895516685615,1.3455328310010763,54.7293041,21.1489473
3223,Kalmykia Republic,Russia,2020-06-10 04:07:00,1180,16,697,428.4474589071685,1.3559322033898304,46.2313018,45.3275745
3224,Kaluga Oblast,Russia,2020-06-10 04:07:00,4691,36,2240,463.5119005272435,0.7674269878490727,54.4382773,35.5272854
3225,Kamchatka Krai,Russia,2020-06-10 04:07:00,1214,10,314,384.71654883269895,0.8237232289950577,57.1914882,160.03838190000005
3227,Karachay-Cherkess Republic,Russia,2020-06-10 04:07:00,1729,9,472,370.78736020415823,0.5205320994794679,43.7368326,41.7267991
3228,Karelia Republic,Russia,2020-06-10 04:07:00,656,2,238,105.3842347755123,0.3048780487804878,62.61940309999999,33.4920267
3229,Kemerovo Oblast,Russia,2020-06-10 04:07:00,786,7,332,29.1664517527145,0.8905852417302799,54.53357809999999,87.342861
3230,Khabarovsk Krai,Russia,2020-06-10 04:07:00,2661,18,1382,200.3309488354305,0.6764374295377678,51.6312684,136.121524
3231,Khakassia Republic,Russia,2020-06-10 04:07:00,1165,10,822,216.73894398833144,0.8583690987124464,53.72258845,91.44293627
3232,Khanty-Mansi Autonomous Okrug,Russia,2020-06-10 04:07:00,3624,21,1204,236.5160095363464,0.5794701986754967,61.0259025,69.0982628
3238,Kirov Oblast,Russia,2020-06-10 04:07:00,2300,20,1218,179.234093753458,0.8695652173913043,57.9665589,49.4074599
3241,Komi Republic,Russia,2020-06-10 04:07:00,1626,27,911,193.3704614133169,1.6605166051660516,63.9881421,54.3326073
3242,Kostroma Oblast,Russia,2020-06-10 04:07:00,953,12,506,148.13686416175986,1.2591815320041972,58.424756,44.2533273
3243,Krasnodar Krai,Russia,2020-06-10 04:07:00,4574,46,3383,81.62871960338508,1.0056843025797988,45.7684014,39.0261044
3244,Krasnoyarsk Krai,Russia,2020-06-10 04:07:00,5617,50,1811,195.27223563939052,0.8901548869503294,63.3233807,97.0979974
3247,Kurgan Oblast,Russia,2020-06-10 04:07:00,314,0,200,37.136163172043325,0.0,55.7655302,64.5632681
3248,Kursk Oblast,Russia,2020-06-10 04:07:00,3619,17,1858,324.5050155258478,0.4697430229345123,51.6568453,36.4852695
3255,Leningrad Oblast,Russia,2020-06-10 04:07:00,3287,19,2321,181.22014581412893,0.5780346820809249,60.1853296,32.3925325
3259,Lipetsk Oblast,Russia,2020-06-10 04:07:00,2697,8,1026,234.48075597221703,0.29662588060808304,52.6935178,39.1122664
3269,Magadan Oblast,Russia,2020-06-10 04:07:00,348,4,213,241.5140432088056,1.1494252873563218,62.48858785,153.9903764
3275,Mari El Republic,Russia,2020-06-10 04:07:00,2151,16,1821,315.24197129554045,0.7438400743840075,56.5767504,47.8817512
3294,Mordovia Republic,Russia,2020-06-10 04:07:00,2296,18,1191,285.19755147468004,0.7839721254355401,54.4419829,44.4661144
3296,Moscow,Russia,2020-06-10 04:07:00,198590,3029,109737,1587.8983578737018,1.5252530338889168,55.7504461,37.6174943
3297,Moscow Oblast,Russia,2020-06-10 04:07:00,45722,590,12672,609.3516459571248,1.2904072437776126,55.50431579999999,38.0353929
3299,Murmansk Oblast,Russia,2020-06-10 04:07:00,3674,7,2535,487.55435886071,0.19052803483941208,68.00004179999999,33.9999151
3307,Nenets Autonomous Okrug,Russia,2020-06-10 04:07:00,80,0,17,181.8305793576835,0.0,68.27557185,57.1686375
3315,Nizhny Novgorod Oblast,Russia,2020-06-10 04:07:00,12734,145,5696,393.66232712739645,1.138683838542485,55.47180329999999,44.0911594
3319,North Ossetia - Alania Republic,Russia,2020-06-10 04:07:00,3364,57,3121,479.3627496384117,1.6944114149821643,42.79336110000001,44.6324493
3324,Novgorod Oblast,Russia,2020-06-10 04:07:00,1779,11,446,293.33394891141614,0.6183249016301293,58.2843833,32.5169757
3325,Novosibirsk Oblast,Russia,2020-06-10 04:07:00,3752,44,1455,134.53578877881162,1.1727078891257996,54.9720169,79.48139240000002
3334,Omsk Oblast,Russia,2020-06-10 04:07:00,1851,18,758,94.43487284454059,0.9724473257698542,56.09352629999999,73.5099936
3337,Orel Oblast,Russia,2020-06-10 04:07:00,3092,32,1543,413.7855354387505,1.034928848641656,52.96854329999999,36.0692477
3338,Orenburg Oblast,Russia,2020-06-10 04:07:00,2461,8,1704,124.43621948506359,0.3250711093051605,52.02692620000001,54.7276647
3348,Penza Oblast,Russia,2020-06-10 04:07:00,3191,28,2531,239.6266300205384,0.8774678784080225,53.1655415,44.78791810000001
3349,Perm Krai,Russia,2020-06-10 04:07:00,2267,28,1474,86.4237347710095,1.235112483458315,58.5951603,56.3159546
3356,Primorsky Krai,Russia,2020-06-10 04:07:00,2500,24,1529,130.6822607194738,0.96,45.0819456,134.726645
3358,Pskov Oblast,Russia,2020-06-10 04:07:00,1306,12,454,205.1697756328686,0.9188361408882084,57.5358729,28.8586826
