,FIPS,Admin2,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,Country/Region,Province/State,Last Update
3038,,,44.6939006,40.1520421,962,9,519,434,"Adygea Republic, Russia",212.18591191417283,0.9355509355509356,Russia,Adygea Republic,2020-06-06 02:33:00
3044,,,52.6932243,82.69314240000001,2192,13,966,1213,"Altai Krai, Russia",93.27342047930284,0.593065693430657,Russia,Altai Krai,2020-06-06 02:33:00
3045,,,50.7114101,86.8572186,156,0,91,65,"Altai Republic, Russia",71.53895892471442,0.0,Russia,Altai Republic,2020-06-06 02:33:00
3050,,,52.8032368,128.437295,615,5,228,382,"Amur Oblast, Russia",77.02674268308567,0.8130081300813008,Russia,Amur Oblast,2020-06-06 02:33:00
3064,,,63.5589686,43.1221646,2621,9,779,1833,"Arkhangelsk Oblast, Russia",226.9209058135387,0.3433803891644411,Russia,Arkhangelsk Oblast,2020-06-06 02:33:00
3066,,,47.1878186,47.608851,2172,20,1166,986,"Astrakhan Oblast, Russia",213.4614364028406,0.9208103130755064,Russia,Astrakhan Oblast,2020-06-06 02:33:00
3078,,,54.8573563,57.1439682,3727,18,1286,2423,"Bashkortostan Republic, Russia",91.72363400818008,0.4829621679635096,Russia,Bashkortostan Republic,2020-06-06 02:33:00
3082,,,50.7080119,37.5837615,2695,22,1236,1437,"Belgorod Oblast, Russia",173.8848785322181,0.8163265306122449,Russia,Belgorod Oblast,2020-06-06 02:33:00
3094,,,52.8873315,33.41585300000001,4174,31,2720,1423,"Bryansk Oblast, Russia",344.67894650787537,0.7426928605654048,Russia,Bryansk Oblast,2020-06-06 02:33:00
3095,,,52.7182426,109.492143,1681,10,999,672,"Buryatia Republic, Russia",170.74466410228018,0.594883997620464,Russia,Buryatia Republic,2020-06-06 02:33:00
3117,,,43.39761470000001,45.6985005,1306,14,982,310,"Chechen Republic, Russia",90.8849873449962,1.0719754977029097,Russia,Chechen Republic,2020-06-06 02:33:00
3118,,,54.4223954,61.1865846,3371,23,1540,1808,"Chelyabinsk Oblast, Russia",96.50630568937738,0.6822901216256304,Russia,Chelyabinsk Oblast,2020-06-06 02:33:00
3127,,,66.0006475,169.4900869,97,1,61,35,"Chukotka Autonomous Okrug, Russia",196.56318391829456,1.0309278350515465,Russia,Chukotka Autonomous Okrug,2020-06-06 02:33:00
3128,,,55.4259922,47.0849429,3311,15,1476,1820,"Chuvashia Republic, Russia",268.9427568622641,0.453035336756267,Russia,Chuvashia Republic,2020-06-06 02:33:00
3138,,,43.05749160000001,47.1332224,5587,288,4520,779,"Dagestan Republic, Russia",182.35018611990986,5.154823697870056,Russia,Dagestan Republic,2020-06-06 02:33:00
3197,,,43.11542075,45.01713552,2268,61,1316,891,"Ingushetia Republic, Russia",464.7131502756929,2.6895943562610225,Russia,Ingushetia Republic,2020-06-06 02:33:00
3199,,,56.6370122,104.719221,2542,16,556,1970,"Irkutsk Oblast, Russia",105.73185619302929,0.6294256490952006,Russia,Irkutsk Oblast,2020-06-06 02:33:00
3203,,,56.9167446,41.43521370000001,2447,20,997,1430,"Ivanovo Oblast, Russia",241.16785558707176,0.8173273395995097,Russia,Ivanovo Oblast,2020-06-06 02:33:00
3206,,,48.57527615,132.66307460000002,329,4,247,78,"Jewish Autonomous Okrug, Russia",203.0688705914304,1.2158054711246202,Russia,Jewish Autonomous Okrug,2020-06-06 02:33:00
3212,,,43.4806048,43.5978976,3199,27,1502,1670,"Kabardino-Balkarian Republic, Russia",369.4729207186647,0.8440137542982182,Russia,Kabardino-Balkarian Republic,2020-06-06 02:33:00
3215,,,54.7293041,21.1489473,1700,24,740,936,"Kaliningrad Oblast, Russia",170.92315596536898,1.4117647058823528,Russia,Kaliningrad Oblast,2020-06-06 02:33:00
3217,,,46.2313018,45.3275745,1136,16,609,511,"Kalmykia Republic, Russia",412.4714519648673,1.4084507042253518,Russia,Kalmykia Republic,2020-06-06 02:33:00
3218,,,54.4382773,35.5272854,4357,34,1954,2369,"Kaluga Oblast, Russia",430.50977416269455,0.7803534542116135,Russia,Kaluga Oblast,2020-06-06 02:33:00
3219,,,57.1914882,160.03838190000005,1033,10,298,725,"Kamchatka Krai, Russia",327.3576564614317,0.968054211035818,Russia,Kamchatka Krai,2020-06-06 02:33:00
3221,,,43.7368326,41.7267991,1430,7,399,1024,"Karachay-Cherkess Republic, Russia",306.6662377628376,0.4895104895104895,Russia,Karachay-Cherkess Republic,2020-06-06 02:33:00
3222,,,62.61940309999999,33.4920267,548,2,210,336,"Karelia Republic, Russia",88.03439124539747,0.36496350364963503,Russia,Karelia Republic,2020-06-06 02:33:00
3223,,,54.53357809999999,87.342861,666,7,270,389,"Kemerovo Oblast, Russia",24.713558355353513,1.0510510510510511,Russia,Kemerovo Oblast,2020-06-06 02:33:00
3224,,,51.6312684,136.121524,2398,15,1292,1091,"Khabarovsk Krai, Russia",180.53123461381523,0.6255212677231026,Russia,Khabarovsk Krai,2020-06-06 02:33:00
3225,,,53.72258845,91.44293627,1102,10,680,412,"Khakassia Republic, Russia",205.01829723188092,0.9074410163339384,Russia,Khakassia Republic,2020-06-06 02:33:00
3226,,,61.0259025,69.0982628,3104,18,1044,2042,"Khanty-Mansi Autonomous Okrug, Russia",202.57883377506047,0.5798969072164949,Russia,Khanty-Mansi Autonomous Okrug,2020-06-06 02:33:00
3232,,,57.9665589,49.4074599,2042,18,1115,909,"Kirov Oblast, Russia",159.128704106331,0.8814887365328109,Russia,Kirov Oblast,2020-06-06 02:33:00
3235,,,63.9881421,54.3326073,1480,25,855,600,"Komi Republic, Russia",176.00755405394156,1.6891891891891893,Russia,Komi Republic,2020-06-06 02:33:00
3236,,,58.424756,44.2533273,862,11,439,412,"Kostroma Oblast, Russia",133.9915812250126,1.2761020881670533,Russia,Kostroma Oblast,2020-06-06 02:33:00
3237,,,45.7684014,39.0261044,4231,41,3109,1081,"Krasnodar Krai, Russia",75.50745794532625,0.9690380524698652,Russia,Krasnodar Krai,2020-06-06 02:33:00
3238,,,63.3233807,97.0979974,4968,49,1427,3492,"Krasnoyarsk Krai, Russia",172.71007061714297,0.9863123993558776,Russia,Krasnoyarsk Krai,2020-06-06 02:33:00
3241,,,55.7655302,64.5632681,268,0,153,115,"Kurgan Oblast, Russia",31.69583353537456,0.0,Russia,Kurgan Oblast,2020-06-06 02:33:00
3242,,,51.6568453,36.4852695,3357,15,1668,1674,"Kursk Oblast, Russia",301.01225120759085,0.4468275245755137,Russia,Kursk Oblast,2020-06-06 02:33:00
3249,,,60.1853296,32.3925325,3086,17,2011,1058,"Leningrad Oblast, Russia",170.1385366542141,0.5508749189889826,Russia,Leningrad Oblast,2020-06-06 02:33:00
3253,,,52.6935178,39.1122664,2452,8,892,1552,"Lipetsk Oblast, Russia",213.18013112490772,0.3262642740619902,Russia,Lipetsk Oblast,2020-06-06 02:33:00
3263,,,62.48858785,153.9903764,286,3,206,77,"Magadan Oblast, Russia",198.48567918884598,1.048951048951049,Russia,Magadan Oblast,2020-06-06 02:33:00
3269,,,56.5767504,47.8817512,1975,14,1633,328,"Mari El Republic, Russia",289.4481140440225,0.7088607594936709,Russia,Mari El Republic,2020-06-06 02:33:00
3288,,,54.4419829,44.4661144,2098,15,1064,1019,"Mordovia Republic, Russia",260.60298910883216,0.7149666348903718,Russia,Mordovia Republic,2020-06-06 02:33:00
3290,,,55.7504461,37.6174943,191069,2806,97358,90905,"Moscow, Russia",1527.761475102323,1.4685794137196508,Russia,Moscow,2020-06-06 02:33:00
3291,,,55.50431579999999,38.0353929,42720,539,10392,31789,"Moscow Oblast, Russia",569.343036509522,1.2617041198501873,Russia,Moscow Oblast,2020-06-06 02:33:00
3293,,,68.00004179999999,33.9999151,3422,7,2427,988,"Murmansk Oblast, Russia",454.1129602671065,0.2045587375803624,Russia,Murmansk Oblast,2020-06-06 02:33:00
3301,,,68.27557185,57.1686375,80,0,15,65,"Nenets Autonomous Okrug, Russia",181.8305793576835,0.0,Russia,Nenets Autonomous Okrug,2020-06-06 02:33:00
3309,,,55.47180329999999,44.0911594,11499,125,4612,6762,"Nizhny Novgorod Oblast, Russia",355.48320242170035,1.0870510479172102,Russia,Nizhny Novgorod Oblast,2020-06-06 02:33:00
3313,,,42.79336110000001,44.6324493,3197,57,2702,438,"North Ossetia - Alania Republic, Russia",455.5656095701552,1.7829214888958398,Russia,North Ossetia - Alania Republic,2020-06-06 02:33:00
3318,,,58.2843833,32.5169757,1588,9,429,1150,"Novgorod Oblast, Russia",261.8405344976553,0.5667506297229219,Russia,Novgorod Oblast,2020-06-06 02:33:00
3319,,,54.9720169,79.48139240000002,3334,38,1306,1990,"Novosibirsk Oblast, Russia",119.54752659609751,1.1397720455908815,Russia,Novosibirsk Oblast,2020-06-06 02:33:00
3328,,,56.09352629999999,73.5099936,1595,18,605,972,"Omsk Oblast, Russia",81.3741881075323,1.128526645768025,Russia,Omsk Oblast,2020-06-06 02:33:00
