,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
3289,,,Kurgan Oblast,Russia,2020-06-13 03:33:14,55.7655302,64.5632681,355,0,212,143,"Kurgan Oblast, Russia",41.985152630813324,0.0
3290,,,Kursk Oblast,Russia,2020-06-13 03:33:14,51.6568453,36.4852695,3839,20,2103,1716,"Kursk Oblast, Russia",344.2317641900332,0.5209690023443605
3298,,,Leningrad Oblast,Russia,2020-06-13 03:33:14,60.185329599999996,32.3925325,3448,23,2578,847,"Leningrad Oblast, Russia",190.09645961883675,0.6670533642691415
3302,,,Lipetsk Oblast,Russia,2020-06-13 03:33:14,52.693517799999995,39.112266399999996,2878,9,1210,1659,"Lipetsk Oblast, Russia",250.2171359614537,0.3127171646977067
3313,,,Magadan Oblast,Russia,2020-06-13 03:33:14,62.48858785,153.9903764,432,4,220,208,"Magadan Oblast, Russia",299.81053639713787,0.925925925925926
3321,,,Mari El Republic,Russia,2020-06-13 03:33:14,56.576750399999995,47.881751200000004,2283,17,2026,240,"Mari El Republic, Russia",334.5873642341789,0.7446342531756461
3342,,,Mordovia Republic,Russia,2020-06-13 03:33:14,54.4419829,44.466114399999995,2480,20,1327,1133,"Mordovia Republic, Russia",308.05310438031637,0.8064516129032258
3344,,,Moscow,Russia,2020-06-13 03:33:14,55.7504461,37.6174943,202935,3187,118024,81724,"Moscow, Russia",1622.6403809612757,1.5704535935151651
3345,,,Moscow Oblast,Russia,2020-06-13 03:33:14,55.50431579999999,38.0353929,47911,666,14955,32290,"Moscow Oblast, Russia",638.5251456509295,1.3900774352445158
3347,,,Murmansk Oblast,Russia,2020-06-13 03:33:14,68.00004179999999,33.9999151,3818,7,2663,1148,"Murmansk Oblast, Russia",506.6637294856262,0.18334206390780514
3356,,,Nenets Autonomous Okrug,Russia,2020-06-13 03:33:14,68.27557185,57.1686375,81,0,32,49,"Nenets Autonomous Okrug, Russia",184.1034615996545,0.0
3364,,,Nizhny Novgorod Oblast,Russia,2020-06-13 03:33:14,55.47180329999999,44.091159399999995,13562,159,6580,6823,"Nizhny Novgorod Oblast, Russia",419.25934352927214,1.1723934522931723
3368,,,North Ossetia - Alania Republic,Russia,2020-06-13 03:33:14,42.79336110000001,44.6324493,3477,58,3186,233,"North Ossetia - Alania Republic, Russia",495.4650060917828,1.6681046879493815
3374,,,Novgorod Oblast,Russia,2020-06-13 03:33:14,58.2843833,32.516975699999996,1913,12,472,1429,"Novgorod Oblast, Russia",315.4288050969865,0.6272869837950863
3375,,,Novosibirsk Oblast,Russia,2020-06-13 03:33:14,54.9720169,79.48139240000002,4069,50,1907,2112,"Novosibirsk Oblast, Russia",145.9024852188125,1.228803145736053
3385,,,Omsk Oblast,Russia,2020-06-13 03:33:14,56.09352629999999,73.5099936,2063,23,1189,851,"Omsk Oblast, Russia",105.25075239237562,1.1148812409112945
3388,,,Orel Oblast,Russia,2020-06-13 03:33:14,52.96854329999999,36.0692477,3392,35,1655,1702,"Orel Oblast, Russia",453.932903042769,1.0318396226415094
3389,,,Orenburg Oblast,Russia,2020-06-13 03:33:14,52.02692620000001,54.7276647,2643,11,1872,760,"Orenburg Oblast, Russia",133.63873551362178,0.4161937192584185
3399,,,Penza Oblast,Russia,2020-06-13 03:33:14,53.1655415,44.78791810000001,3535,28,2823,684,"Penza Oblast, Russia",265.4591467009098,0.7920792079207921
3400,,,Perm Krai,Russia,2020-06-13 03:33:14,58.5951603,56.3159546,2506,38,1689,779,"Perm Krai, Russia",95.53501514607404,1.5163607342378291
3407,,,Primorsky Krai,Russia,2020-06-13 03:33:14,45.0819456,134.726645,2702,26,1634,1042,"Primorsky Krai, Russia",141.24138738560728,0.9622501850481124
3409,,,Pskov Oblast,Russia,2020-06-13 03:33:14,57.535872899999994,28.8586826,1535,16,506,1013,"Pskov Oblast, Russia",241.14518039544672,1.0423452768729642
3435,,,Rostov Oblast,Russia,2020-06-13 03:33:14,47.6222451,40.7957942,7152,64,2831,4257,"Rostov Oblast, Russia",169.46052223790247,0.8948545861297539
3436,,,Ryazan Oblast,Russia,2020-06-13 03:33:14,54.42267320000001,40.57052460000001,4345,11,2007,2327,"Ryazan Oblast, Russia",387.4365344180962,0.2531645569620253
3442,,,Saint Petersburg,Russia,2020-06-13 03:33:14,59.960673899999996,30.158655100000004,20043,561,9276,10206,"Saint Petersburg, Russia",374.5000639955455,2.7989821882951653
3445,,,Sakha (Yakutiya) Republic,Russia,2020-06-13 03:33:14,66.941626,129.642371,2898,20,1751,1127,"Sakha (Yakutiya) Republic, Russia",300.51953169558135,0.6901311249137336
3446,,,Sakhalin Oblast,Russia,2020-06-13 03:33:14,49.7219665,143.448533,305,0,71,234,"Sakhalin Oblast, Russia",62.22191394607298,0.0
3447,,,Samara Oblast,Russia,2020-06-13 03:33:14,53.2128813,50.8914633,3548,40,1741,1767,"Samara Oblast, Russia",111.10018618988363,1.1273957158962795
3454,,,Saratov Oblast,Russia,2020-06-13 03:33:14,51.652055499999996,46.86319520000001,4362,37,1980,2345,"Saratov Oblast, Russia",177.1046915284517,0.848234754699679
3475,,,Smolensk Oblast,Russia,2020-06-13 03:33:14,55.03434960000001,33.0192065,3609,47,1394,2168,"Smolensk Oblast, Russia",380.1556436628086,1.3022998060404545
3480,,,Stavropol Krai,Russia,2020-06-13 03:33:14,44.86325770000001,43.4406913,3509,67,1846,1596,"Stavropol Krai, Russia",125.29126917306334,1.9093758905671128
3484,,,Sverdlovsk Oblast,Russia,2020-06-13 03:33:14,58.6414755,61.802154599999994,8826,48,3912,4866,"Sverdlovsk Oblast, Russia",204.05728585776197,0.5438477226376615
3488,,,Tambov Oblast,Russia,2020-06-13 03:33:14,52.9019574,41.3578918,3770,10,1788,1972,"Tambov Oblast, Russia",364.7615214328839,0.26525198938992045
3492,,,Tatarstan Republic,Russia,2020-06-13 03:33:14,55.7648572,52.43104273,3823,10,3611,202,"Tatarstan Republic, Russia",98.1695223049988,0.26157467957101754
3504,,,Tomsk Oblast,Russia,2020-06-13 03:33:14,58.6124279,82.04753149999998,1167,11,564,592,"Tomsk Oblast, Russia",108.22791853692918,0.9425878320479862
3509,,,Tula Oblast,Russia,2020-06-13 03:33:14,53.9570701,37.369090899999996,5147,56,3170,1921,"Tula Oblast, Russia",345.0067198219666,1.088012434427822
3512,,,Tver Oblast,Russia,2020-06-13 03:33:14,57.1134475,35.174442799999994,2488,50,1611,827,"Tver Oblast, Russia",193.78863797275898,2.009646302250804
3513,,,Tyumen Oblast,Russia,2020-06-13 03:33:14,58.8206488,70.36588370000001,2069,13,1222,834,"Tyumen Oblast, Russia",56.03401581627126,0.6283228612856452
3514,,,Tyva Republic,Russia,2020-06-13 03:33:14,51.401714899999995,93.8582593,2203,2,373,1828,"Tyva Republic, Russia",684.7526746694351,0.09078529278256922
3516,,,Udmurt Republic,Russia,2020-06-13 03:33:14,57.1961165,52.69598320000001,1053,12,551,490,"Udmurt Republic, Russia",69.59480358799877,1.1396011396011396
3517,,,Ulyanovsk Oblast,Russia,2020-06-13 03:33:14,54.146317700000004,47.2324921,3633,18,1255,2360,"Ulyanovsk Oblast, Russia",291.42848891962086,0.495458298926507
3545,,,Vladimir Oblast,Russia,2020-06-13 03:33:14,56.0503336,40.656163299999996,3390,44,1667,1679,"Vladimir Oblast, Russia",245.9485597499015,1.297935103244838
3546,,,Volgograd Oblast,Russia,2020-06-13 03:33:14,49.604833899999996,44.29035820000001,4460,25,1732,2703,"Volgograd Oblast, Russia",176.89455656580242,0.5605381165919282
3547,,,Vologda Oblast,Russia,2020-06-13 03:33:14,60.0391461,43.1215213,1221,13,693,515,"Vologda Oblast, Russia",103.7657358911318,1.0647010647010646
3549,,,Voronezh Oblast,Russia,2020-06-13 03:33:14,50.9800393,40.15065070000001,3993,21,1944,2028,"Voronezh Oblast, Russia",171.09669855786862,0.5259203606311045
3557,,,Yamalo-Nenets Autonomous Okrug,Russia,2020-06-13 03:33:14,67.1471631,74.3415488,3086,15,1487,1584,"Yamalo-Nenets Autonomous Okrug, Russia",573.0233387243825,0.4860661049902787
3559,,,Yaroslavl Oblast,Russia,2020-06-13 03:33:14,57.77819760000001,39.002109499999996,3963,16,1639,2308,"Yaroslavl Oblast, Russia",313.11132952616924,0.4037345445369669
3563,,,Zabaykalsky Krai,Russia,2020-06-13 03:33:14,52.248521000000004,115.956325,1841,40,1076,725,"Zabaykalsky Krai, Russia",171.6060499288781,2.1727322107550244
