,FIPS,Admin2,Province/State,Country/Region,Last Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
3045,,,Adygea Republic,Russia,2020-06-11 03:33:41,44.6939006,40.1520421,1158,12,651,495,"Adygea Republic, Russia",255.41713721061544,1.0362694300518134
3051,,,Altai Krai,Russia,2020-06-11 03:33:41,52.6932243,82.69314240000001,2524,16,1314,1194,"Altai Krai, Russia",107.4005991285403,0.6339144215530903
3052,,,Altai Republic,Russia,2020-06-11 03:33:41,50.7114101,86.8572186,204,0,109,95,"Altai Republic, Russia",93.55094628616501,0.0
3057,,,Amur Oblast,Russia,2020-06-11 03:33:41,52.8032368,128.437295,835,5,296,534,"Amur Oblast, Russia",104.58102461849845,0.5988023952095808
3073,,,Arkhangelsk Oblast,Russia,2020-06-11 03:33:41,63.5589686,43.1221646,3217,13,944,2260,"Arkhangelsk Oblast, Russia",278.5213864945265,0.40410320174075226
3077,,,Astrakhan Oblast,Russia,2020-06-11 03:33:41,47.1878186,47.608851,2501,23,1438,1040,"Astrakhan Oblast, Russia",245.79514385060054,0.9196321471411436
3091,,,Bashkortostan Republic,Russia,2020-06-11 03:33:41,54.8573563,57.1439682,4194,18,1640,2536,"Bashkortostan Republic, Russia",103.21677516241137,0.4291845493562232
3095,,,Belgorod Oblast,Russia,2020-06-11 03:33:41,50.7080119,37.5837615,3061,32,1608,1421,"Belgorod Oblast, Russia",197.49967094141724,1.0454099967330936
3108,,,Bryansk Oblast,Russia,2020-06-11 03:33:41,52.8873315,33.41585300000001,4641,31,3217,1393,"Bryansk Oblast, Russia",383.24269064280077,0.6679594914889032
3109,,,Buryatia Republic,Russia,2020-06-11 03:33:41,52.7182426,109.492143,1956,11,1147,798,"Buryatia Republic, Russia",198.67731289950038,0.5623721881390593
3132,,,Chechen Republic,Russia,2020-06-11 03:33:41,43.39761470000001,45.6985005,1400,16,1073,311,"Chechen Republic, Russia",97.42647954287494,1.1428571428571428
3133,,,Chelyabinsk Oblast,Russia,2020-06-11 03:33:41,54.4223954,61.1865846,4015,37,1967,2011,"Chelyabinsk Oblast, Russia",114.94298942238214,0.921544209215442
3143,,,Chukotka Autonomous Okrug,Russia,2020-06-11 03:33:41,66.0006475,169.4900869,112,1,69,42,"Chukotka Autonomous Okrug, Russia",226.95955256545352,0.8928571428571429
3144,,,Chuvashia Republic,Russia,2020-06-11 03:33:41,55.4259922,47.0849429,3725,18,1829,1878,"Chuvashia Republic, Russia",302.57075485108237,0.4832214765100672
3155,,,Dagestan Republic,Russia,2020-06-11 03:33:41,43.05749160000001,47.1332224,6175,309,4636,1230,"Dagestan Republic, Russia",201.5415069429825,5.004048582995951
3221,,,Ingushetia Republic,Russia,2020-06-11 03:33:41,43.11542075,45.01713552,2438,62,1652,724,"Ingushetia Republic, Russia",499.5461465485623,2.543068088597211
3223,,,Irkutsk Oblast,Russia,2020-06-11 03:33:41,56.6370122,104.719221,3265,20,892,2353,"Irkutsk Oblast, Russia",135.80429208113318,0.6125574272588055
3228,,,Ivanovo Oblast,Russia,2020-06-11 03:33:41,56.9167446,41.43521370000001,3031,25,1238,1768,"Ivanovo Oblast, Russia",298.72487547381064,0.8248102936324645
3232,,,Jewish Autonomous Okrug,Russia,2020-06-11 03:33:41,48.57527615,132.66307460000002,356,4,261,91,"Jewish Autonomous Okrug, Russia",219.73409705334103,1.1235955056179776
