,FIPS,Admin2,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,Country/Region,Province/State,Last Update
3040,,,44.6939006,40.1520421,995,10,540,445,"Adygea Republic, Russia",219.46463862224726,1.0050251256281406,Russia,Adygea Republic,2020-06-07 03:53:30
3046,,,52.6932243,82.69314240000001,2255,14,1061,1180,"Altai Krai, Russia",95.95418028322442,0.6208425720620843,Russia,Altai Krai,2020-06-07 03:53:30
3047,,,50.7114101,86.8572186,163,0,95,68,"Altai Republic, Russia",74.74904041492596,0.0,Russia,Altai Republic,2020-06-07 03:53:30
3052,,,52.8032368,128.437295,657,5,249,403,"Amur Oblast, Russia",82.28710559802812,0.7610350076103499,Russia,Amur Oblast,2020-06-07 03:53:30
3066,,,63.5589686,43.1221646,2746,9,844,1893,"Arkhangelsk Oblast, Russia",237.74315427851096,0.3277494537509104,Russia,Arkhangelsk Oblast,2020-06-07 03:53:30
3068,,,47.1878186,47.608851,2233,22,1225,986,"Astrakhan Oblast, Russia",219.4564399113919,0.9852216748768472,Russia,Astrakhan Oblast,2020-06-07 03:53:30
3080,,,54.8573563,57.1439682,3832,18,1322,2492,"Bashkortostan Republic, Russia",94.30774497433485,0.4697286012526096,Russia,Bashkortostan Republic,2020-06-07 03:53:30
3084,,,50.7080119,37.5837615,2769,25,1326,1418,"Belgorod Oblast, Russia",178.65945404664632,0.9028530155290718,Russia,Belgorod Oblast,2020-06-07 03:53:30
3096,,,52.8873315,33.41585300000001,4269,31,2818,1420,"Bryansk Oblast, Russia",352.5238195117681,0.7261653783087374,Russia,Bryansk Oblast,2020-06-07 03:53:30
3097,,,52.7182426,109.492143,1733,11,1026,696,"Buryatia Republic, Russia",176.02647405666366,0.6347374495095209,Russia,Buryatia Republic,2020-06-07 03:53:30
3119,,,43.39761470000001,45.6985005,1326,14,988,324,"Chechen Republic, Russia",92.27679419560872,1.0558069381598794,Russia,Chechen Republic,2020-06-07 03:53:30
3120,,,54.4223954,61.1865846,3499,26,1651,1822,"Chelyabinsk Oblast, Russia",100.17073972326651,0.7430694484138325,Russia,Chelyabinsk Oblast,2020-06-07 03:53:30
3129,,,66.0006475,169.4900869,102,1,63,38,"Chukotka Autonomous Okrug, Russia",206.6953068006809,0.9803921568627452,Russia,Chukotka Autonomous Okrug,2020-06-07 03:53:30
3130,,,55.4259922,47.0849429,3395,16,1525,1854,"Chuvashia Republic, Russia",275.7658289179664,0.4712812960235641,Russia,Chuvashia Republic,2020-06-07 03:53:30
3140,,,43.05749160000001,47.1332224,5743,298,4537,908,"Dagestan Republic, Russia",187.44176103215364,5.188925648615706,Russia,Dagestan Republic,2020-06-07 03:53:30
3199,,,43.11542075,45.01713552,2307,61,1432,814,"Ingushetia Republic, Russia",472.7042494206452,2.6441265713047253,Russia,Ingushetia Republic,2020-06-07 03:53:30
3201,,,56.6370122,104.719221,2613,16,638,1959,"Irkutsk Oblast, Russia",108.68502762879051,0.6123230003827018,Russia,Irkutsk Oblast,2020-06-07 03:53:30
3205,,,56.9167446,41.43521370000001,2577,22,1063,1492,"Ivanovo Oblast, Russia",253.9802059043253,0.8537058595265813,Russia,Ivanovo Oblast,2020-06-07 03:53:30
3208,,,48.57527615,132.66307460000002,336,4,249,83,"Jewish Autonomous Okrug, Russia",207.38948485933315,1.1904761904761905,Russia,Jewish Autonomous Okrug,2020-06-07 03:53:30
3214,,,43.4806048,43.5978976,3272,29,1549,1694,"Kabardino-Balkarian Republic, Russia",377.9041564837358,0.8863080684596577,Russia,Kabardino-Balkarian Republic,2020-06-07 03:53:30
3217,,,54.7293041,21.1489473,1736,24,763,949,"Kaliningrad Oblast, Russia",174.54270515051795,1.3824884792626728,Russia,Kaliningrad Oblast,2020-06-07 03:53:30
3219,,,46.2313018,45.3275745,1149,16,614,519,"Kalmykia Republic, Russia",417.19163583418367,1.3925152306353348,Russia,Kalmykia Republic,2020-06-07 03:53:30
3220,,,54.4382773,35.5272854,4431,35,2024,2372,"Kaluga Oblast, Russia",437.82162251891197,0.7898894154818326,Russia,Kaluga Oblast,2020-06-07 03:53:30
3221,,,57.1914882,160.03838190000005,1085,10,301,774,"Kamchatka Krai, Russia",343.8364542697516,0.9216589861751152,Russia,Kamchatka Krai,2020-06-07 03:53:30
3223,,,43.7368326,41.7267991,1505,7,405,1093,"Karachay-Cherkess Republic, Russia",322.7501313517976,0.4651162790697674,Russia,Karachay-Cherkess Republic,2020-06-07 03:53:30
3224,,,62.61940309999999,33.4920267,573,2,215,356,"Karelia Republic, Russia",92.05055872922036,0.34904013961605584,Russia,Karelia Republic,2020-06-07 03:53:30
3225,,,54.53357809999999,87.342861,685,7,298,380,"Kemerovo Oblast, Russia",25.41859980993567,1.0218978102189782,Russia,Kemerovo Oblast,2020-06-07 03:53:30
3226,,,51.6312684,136.121524,2468,16,1296,1156,"Khabarovsk Krai, Russia",185.8011205283136,0.6482982171799028,Russia,Khabarovsk Krai,2020-06-07 03:53:30
3227,,,53.72258845,91.44293627,1111,10,711,390,"Khakassia Republic, Russia",206.69267533994525,0.9000900090009001,Russia,Khakassia Republic,2020-06-07 03:53:30
3228,,,61.0259025,69.0982628,3231,20,1112,2099,"Khanty-Mansi Autonomous Okrug, Russia",210.86733631675915,0.6190034045187248,Russia,Khanty-Mansi Autonomous Okrug,2020-06-07 03:53:30
3234,,,57.9665589,49.4074599,2121,18,1157,946,"Kirov Oblast, Russia",165.28500558742806,0.8486562942008486,Russia,Kirov Oblast,2020-06-07 03:53:30
3237,,,63.9881421,54.3326073,1518,26,875,617,"Komi Republic, Russia",180.52666692829948,1.7127799736495388,Russia,Komi Republic,2020-06-07 03:53:30
