,FIPS,Admin2,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,Country/Region,Province/State,Last Update
3073,,,44.6939006,40.1520421,1484,12,917,555,"Adygea Republic, Russia",327.32213438735175,0.8086253369272237,Russia,Adygea Republic,2020-06-20 04:33:19
3079,,,52.693224300000004,82.69314240000001,3153,24,2210,919,"Altai Krai, Russia",134.16564542483658,0.7611798287345385,Russia,Altai Krai,2020-06-20 04:33:19
3080,,,50.7114101,86.8572186,336,0,162,174,"Altai Republic, Russia",154.08391153015413,0.0,Russia,Altai Republic,2020-06-20 04:33:19
3085,,,52.8032368,128.437295,1230,7,491,732,"Amur Oblast, Russia",154.05348536617134,0.5691056910569106,Russia,Amur Oblast,2020-06-20 04:33:19
3101,,,63.5589686,43.1221646,4274,27,1512,2735,"Arkhangelsk Oblast, Russia",370.0343195143322,0.6317267197005147,Russia,Arkhangelsk Oblast,2020-06-20 04:33:19
3105,,,47.1878186,47.608851,3046,27,2000,1019,"Astrakhan Oblast, Russia",299.3570604433944,0.886408404464872,Russia,Astrakhan Oblast,2020-06-20 04:33:19
3119,,,54.8573563,57.1439682,4792,18,2267,2507,"Bashkortostan Republic, Russia",117.93390237917866,0.3756260434056761,Russia,Bashkortostan Republic,2020-06-20 04:33:19
3123,,,50.7080119,37.5837615,3747,38,2596,1113,"Belgorod Oblast, Russia",241.76127638598183,1.0141446490525754,Russia,Belgorod Oblast,2020-06-20 04:33:19
3136,,,52.887331499999995,33.41585300000001,5421,32,3969,1420,"Bryansk Oblast, Russia",447.6532268852882,0.5902969931746911,Russia,Bryansk Oblast,2020-06-20 04:33:19
3137,,,52.718242599999996,109.492143,2446,12,1567,867,"Buryatia Republic, Russia",248.44821439272897,0.490596892886345,Russia,Buryatia Republic,2020-06-20 04:33:19
3160,,,43.39761470000001,45.6985005,1560,19,1147,394,"Chechen Republic, Russia",108.56093434777495,1.2179487179487178,Russia,Chechen Republic,2020-06-20 04:33:19
