,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Incidence_Rate,Case-Fatality_Ratio,Latitude,Longitude
3065,Adygea Republic,Russia,2020-06-14 03:33:15,1278,12,752,281.8852343308865,0.9389671361502347,44.6939006,40.1520421
3071,Altai Krai,Russia,2020-06-14 03:33:15,2726,19,1607,115.99605119825708,0.6969919295671313,52.693224300000004,82.69314240000001
3072,Altai Republic,Russia,2020-06-14 03:33:15,243,0,126,111.4356860173436,0.0,50.7114101,86.8572186
3077,Amur Oblast,Russia,2020-06-14 03:33:15,973,5,350,121.86507419616643,0.513874614594039,52.8032368,128.437295
3093,Arkhangelsk Oblast,Russia,2020-06-14 03:33:15,3587,16,1043,310.5552419508445,0.4460551993309172,63.5589686,43.1221646
3097,Astrakhan Oblast,Russia,2020-06-14 03:33:15,2674,24,1639,262.79736691583605,0.8975317875841436,47.1878186,47.608851
3111,Bashkortostan Republic,Russia,2020-06-14 03:33:15,4418,18,1839,108.7295452235416,0.4074241738343142,54.8573563,57.1439682
3115,Belgorod Oblast,Russia,2020-06-14 03:33:15,3284,34,2056,211.88791877543756,1.0353227771010962,50.7080119,37.5837615
3128,Bryansk Oblast,Russia,2020-06-14 03:33:15,4920,32,3519,406.281843991075,0.6504065040650406,52.887331499999995,33.41585300000001
3129,Buryatia Republic,Russia,2020-06-14 03:33:15,2153,11,1290,218.6872467651453,0.5109150023223409,52.718242599999996,109.492143
3152,Chechen Republic,Russia,2020-06-14 03:33:15,1464,17,1123,101.88026146483496,1.1612021857923498,43.39761470000001,45.6985005
3153,Chelyabinsk Oblast,Russia,2020-06-14 03:33:15,4341,40,2309,124.27584485244354,0.9214466712739,54.4223954,61.1865846
3163,Chukotka Autonomous Okrug,Russia,2020-06-14 03:33:15,129,1,77,261.40877036556697,0.7751937984496124,66.0006475,169.4900869
3164,Chuvashia Republic,Russia,2020-06-14 03:33:15,3956,18,2105,321.3342030042636,0.45500505561172905,55.4259922,47.0849429
3175,Dagestan Republic,Russia,2020-06-14 03:33:15,6463,313,4710,210.94133755020175,4.842952189385733,43.05749160000001,47.1332224
3242,Ingushetia Republic,Russia,2020-06-14 03:33:15,2550,62,2113,522.494944093041,2.431372549019608,43.11542075,45.01713552
3244,Irkutsk Oblast,Russia,2020-06-14 03:33:15,3819,20,1002,158.8473480728477,0.5236973029588897,56.6370122,104.71922099999999
3249,Ivanovo Oblast,Russia,2020-06-14 03:33:15,3323,27,1351,327.50338541717997,0.8125188083057479,56.9167446,41.43521370000001
3253,Jewish Autonomous Okrug,Russia,2020-06-14 03:33:15,371,4,276,228.992556198847,1.0781671159029649,48.57527615,132.66307460000002
3260,Kabardino-Balkarian Republic,Russia,2020-06-14 03:33:15,3815,35,1886,440.61869101022376,0.9174311926605504,43.480604799999995,43.5978976
3263,Kaliningrad Oblast,Russia,2020-06-14 03:33:15,2027,31,979,203.8007277304723,1.5293537247163296,54.7293041,21.1489473
3265,Kalmykia Republic,Russia,2020-06-14 03:33:15,1247,18,804,452.77456038749085,1.4434643143544508,46.2313018,45.3275745
3266,Kaluga Oblast,Russia,2020-06-14 03:33:15,5011,39,2458,495.13070422980553,0.7782877669127919,54.438277299999996,35.5272854
3267,Kamchatka Krai,Russia,2020-06-14 03:33:15,1409,10,415,446.51204061389865,0.7097232079489,57.191488199999995,160.03838190000005
3269,Karachay-Cherkess Republic,Russia,2020-06-14 03:33:15,2058,9,510,441.34204008106275,0.43731778425655976,43.7368326,41.7267991
3270,Karelia Republic,Russia,2020-06-14 03:33:15,732,2,279,117.59338392633384,0.27322404371584696,62.61940309999999,33.4920267
3272,Kemerovo Oblast,Russia,2020-06-14 03:33:15,997,7,397,36.99612264307425,0.7021063189568706,54.53357809999999,87.342861
3274,Khabarovsk Krai,Russia,2020-06-14 03:33:15,2938,19,1455,221.18464023994545,0.6466984343090538,51.6312684,136.121524
3275,Khakassia Republic,Russia,2020-06-14 03:33:15,1299,10,905,241.66857359728974,0.7698229407236336,53.72258845,91.44293627
