,FIPS,Admin2,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,Country/Region,Province/State,Last Update
3068,,,44.6939006,40.1520421,1389,12,817,560,"Adygea Republic, Russia",306.36822416713716,0.8639308855291576,Russia,Adygea Republic,2020-06-17 04:33:21
3074,,,52.693224300000004,82.69314240000001,2939,21,1892,1026,"Altai Krai, Russia",125.05957244008715,0.7145287512759442,Russia,Altai Krai,2020-06-17 04:33:21
3075,,,50.7114101,86.8572186,279,0,144,135,"Altai Republic, Russia",127.94467653843157,0.0,Russia,Altai Republic,2020-06-17 04:33:21
3080,,,52.8032368,128.437295,1100,6,409,685,"Amur Oblast, Russia",137.77140967706382,0.5454545454545454,Russia,Amur Oblast,2020-06-17 04:33:21
3096,,,63.5589686,43.1221646,3912,19,1188,2705,"Arkhangelsk Oblast, Russia",338.69308795977236,0.4856850715746421,Russia,Arkhangelsk Oblast,2020-06-17 04:33:21
3100,,,47.1878186,47.608851,2862,25,1807,1030,"Astrakhan Oblast, Russia",281.27377117169885,0.8735150244584207,Russia,Astrakhan Oblast,2020-06-17 04:33:21
3114,,,54.8573563,57.1439682,4611,18,1940,2653,"Bashkortostan Republic, Russia",113.4793872851404,0.3903708523096942,Russia,Bashkortostan Republic,2020-06-17 04:33:21
3118,,,50.7080119,37.5837615,3514,36,2264,1214,"Belgorod Oblast, Russia",226.7278156446064,1.0244735344336935,Russia,Belgorod Oblast,2020-06-17 04:33:21
3131,,,52.887331499999995,33.41585300000001,5183,32,3761,1390,"Bryansk Oblast, Russia",427.99975557027267,0.6174030484275516,Russia,Bryansk Oblast,2020-06-17 04:33:21
3132,,,52.718242599999996,109.492143,2303,11,1414,878,"Buryatia Republic, Russia",233.9232370181745,0.4776378636561007,Russia,Buryatia Republic,2020-06-17 04:33:21
3155,,,43.39761470000001,45.6985005,1513,17,1137,359,"Chechen Republic, Russia",105.29018824883558,1.1235955056179776,Russia,Chechen Republic,2020-06-17 04:33:21
3156,,,54.4223954,61.1865846,4822,47,2463,2312,"Chelyabinsk Oblast, Russia",138.0461008704176,0.9746992948983824,Russia,Chelyabinsk Oblast,2020-06-17 04:33:21
3166,,,66.0006475,169.4900869,129,1,88,40,"Chukotka Autonomous Okrug, Russia",261.40877036556697,0.7751937984496124,Russia,Chukotka Autonomous Okrug,2020-06-17 04:33:21
