,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
3070,,,Adygea Republic,Russia,2020-06-16 04:33:09,44.6939006,40.1520421,1340,12,796,532,"Adygea Republic, Russia",295.5604178430265,0.8955223880597015
3076,,,Altai Krai,Russia,2020-06-16 04:33:09,52.693224300000004,82.69314240000001,2867,19,1715,1133,"Altai Krai, Russia",121.99584694989107,0.6627136379490757
3077,,,Altai Republic,Russia,2020-06-16 04:33:09,50.7114101,86.8572186,275,0,135,140,"Altai Republic, Russia",126.11034425831068,0.0
3082,,,Amur Oblast,Russia,2020-06-16 04:33:09,52.8032368,128.437295,1062,6,371,685,"Amur Oblast, Russia",133.0120337064016,0.5649717514124294
3098,,,Arkhangelsk Oblast,Russia,2020-06-16 04:33:09,63.5589686,43.1221646,3803,19,1068,2716,"Arkhangelsk Oblast, Russia",329.25608729831663,0.4996055745464108
3102,,,Astrakhan Oblast,Russia,2020-06-16 04:33:09,47.1878186,47.608851,2794,24,1702,1068,"Astrakhan Oblast, Russia",274.5908164408549,0.8589835361488904
3116,,,Bashkortostan Republic,Russia,2020-06-16 04:33:09,54.8573563,57.1439682,4547,18,1874,2655,"Bashkortostan Republic, Russia",111.90431012481748,0.3958654057620409
3120,,,Belgorod Oblast,Russia,2020-06-16 04:33:09,50.7080119,37.5837615,3442,36,2106,1300,"Belgorod Oblast, Russia",222.08228271164916,1.0459035444509006
3133,,,Bryansk Oblast,Russia,2020-06-16 04:33:09,52.887331499999995,33.41585300000001,5098,32,3688,1378,"Bryansk Oblast, Russia",420.98065867205287,0.6276971361318164
3134,,,Buryatia Republic,Russia,2020-06-16 04:33:09,52.718242599999996,109.492143,2252,11,1356,885,"Buryatia Republic, Russia",228.7430003321446,0.4884547069271759
3157,,,Chechen Republic,Russia,2020-06-16 04:33:09,43.39761470000001,45.6985005,1496,17,1128,351,"Chechen Republic, Russia",104.10715242581496,1.1363636363636365
3158,,,Chelyabinsk Oblast,Russia,2020-06-16 04:33:09,54.4223954,61.1865846,4651,47,2434,2170,"Chelyabinsk Oblast, Russia",133.15064602826882,1.0105353687379055
3168,,,Chukotka Autonomous Okrug,Russia,2020-06-16 04:33:09,66.0006475,169.4900869,129,1,84,44,"Chukotka Autonomous Okrug, Russia",261.40877036556697,0.7751937984496124
3169,,,Chuvashia Republic,Russia,2020-06-16 04:33:09,55.4259922,47.0849429,4112,18,2197,1897,"Chuvashia Republic, Russia",334.00562253628215,0.4377431906614786
3180,,,Dagestan Republic,Russia,2020-06-16 04:33:09,43.05749160000001,47.1332224,6652,319,4754,1579,"Dagestan Republic, Russia",217.10997638618943,4.795550210463018
3247,,,Ingushetia Republic,Russia,2020-06-16 04:33:09,43.11542075,45.01713552,2623,62,2125,436,"Ingushetia Republic, Russia",537.4526424925673,2.3637056805184904
