,FIPS,Admin2,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,Latitude,Longitude
3299,,,Kurgan Oblast,Russia,2020-06-19 04:33:17,441,0,252,189,"Kurgan Oblast, Russia",52.15620369067232,0.0,55.7655302,64.5632681
3300,,,Kursk Oblast,Russia,2020-06-19 04:33:17,4256,23,2345,1888,"Kursk Oblast, Russia",381.62291961260246,0.5404135338345865,51.6568453,36.4852695
3308,,,Leningrad Oblast,Russia,2020-06-19 04:33:17,3805,25,3140,640,"Leningrad Oblast, Russia",209.77872066405854,0.657030223390276,60.185329599999996,32.3925325
3312,,,Lipetsk Oblast,Russia,2020-06-19 04:33:17,3228,11,1471,1746,"Lipetsk Oblast, Russia",280.6466000290384,0.34076827757125155,52.693517799999995,39.112266399999996
3323,,,Magadan Oblast,Russia,2020-06-19 04:33:17,521,4,241,276,"Magadan Oblast, Russia",361.57705894191866,0.7677543186180422,62.48858785,153.9903764
3331,,,Mari El Republic,Russia,2020-06-19 04:33:17,2557,19,2370,168,"Mari El Republic, Russia",374.7437101825648,0.7430582714118107,56.576750399999995,47.881751200000004
3352,,,Mordovia Republic,Russia,2020-06-19 04:33:17,2818,22,1755,1041,"Mordovia Republic, Russia",350.0377613482789,0.7806955287437899,54.4419829,44.466114399999995
3354,,,Moscow,Russia,2020-06-19 04:33:17,210785,3483,130431,76871,"Moscow, Russia",1685.4079025349124,1.6523946201105393,55.7504461,37.6174943
3355,,,Moscow Oblast,Russia,2020-06-19 04:33:17,52083,751,20355,30977,"Moscow Oblast, Russia",694.1267174748464,1.4419292283470615,55.50431579999999,38.0353929
3357,,,Murmansk Oblast,Russia,2020-06-19 04:33:17,4219,9,2910,1300,"Murmansk Oblast, Russia",559.8780185175109,0.2133206921071344,68.00004179999999,33.9999151
3366,,,Nenets Autonomous Okrug,Russia,2020-06-19 04:33:17,90,0,33,57,"Nenets Autonomous Okrug, Russia",204.5594017773939,0.0,68.27557185,57.1686375
3374,,,Nizhny Novgorod Oblast,Russia,2020-06-19 04:33:17,14881,181,7773,6927,"Nizhny Novgorod Oblast, Russia",460.035267000376,1.216316107788455,55.47180329999999,44.091159399999995
3378,,,North Ossetia - Alania Republic,Russia,2020-06-19 04:33:17,3676,66,3290,320,"North Ossetia - Alania Republic, Russia",523.8220771910825,1.7954298150163222,42.79336110000001,44.6324493
3384,,,Novgorod Oblast,Russia,2020-06-19 04:33:17,2245,20,533,1692,"Novgorod Oblast, Russia",370.1712846015341,0.8908685968819601,58.2843833,32.516975699999996
3385,,,Novosibirsk Oblast,Russia,2020-06-19 04:33:17,4711,63,2502,2146,"Novosibirsk Oblast, Russia",168.92273479130637,1.337295690936107,54.9720169,79.48139240000002
3395,,,Omsk Oblast,Russia,2020-06-19 04:33:17,2624,24,1504,1096,"Omsk Oblast, Russia",133.87201855433528,0.9146341463414634,56.09352629999999,73.5099936
3398,,,Orel Oblast,Russia,2020-06-19 04:33:17,3929,44,1945,1940,"Orel Oblast, Russia",525.796691053962,1.11987783150929,52.96854329999999,36.0692477
3399,,,Orenburg Oblast,Russia,2020-06-19 04:33:17,3007,13,2222,772,"Orenburg Oblast, Russia",152.04376757073803,0.4323245759893581,52.02692620000001,54.7276647
3409,,,Penza Oblast,Russia,2020-06-19 04:33:17,4076,33,3371,672,"Penza Oblast, Russia",306.08528485230784,0.8096172718351324,53.1655415,44.78791810000001
3410,,,Perm Krai,Russia,2020-06-19 04:33:17,2937,54,1931,952,"Perm Krai, Russia",111.9658178308138,1.838610827374872,58.5951603,56.3159546
3417,,,Primorsky Krai,Russia,2020-06-19 04:33:17,3270,30,1895,1345,"Primorsky Krai, Russia",170.93239702107172,0.9174311926605504,45.0819456,134.726645
3419,,,Pskov Oblast,Russia,2020-06-19 04:33:17,2047,19,571,1457,"Pskov Oblast, Russia",321.579273139726,0.9281875915974596,57.535872899999994,28.8586826
3445,,,Rostov Oblast,Russia,2020-06-19 04:33:17,8097,76,3526,4495,"Rostov Oblast, Russia",191.85148889265892,0.9386192416944548,47.6222451,40.7957942
3446,,,Ryazan Oblast,Russia,2020-06-19 04:33:17,4656,14,2619,2023,"Ryazan Oblast, Russia",415.16789510947194,0.3006872852233677,54.42267320000001,40.57052460000001
3452,,,Saint Petersburg,Russia,2020-06-19 04:33:17,21506,756,11324,9426,"Saint Petersburg, Russia",401.8359714757372,3.5152980563563663,59.960673899999996,30.158655100000004
3455,,,Sakha (Yakutiya) Republic,Russia,2020-06-19 04:33:17,3389,23,2252,1114,"Sakha (Yakutiya) Republic, Russia",351.43571184138216,0.6786662732369431,66.941626,129.642371
3456,,,Sakhalin Oblast,Russia,2020-06-19 04:33:17,423,0,100,323,"Sakhalin Oblast, Russia",86.29465442357007,0.0,49.7219665,143.448533
3457,,,Samara Oblast,Russia,2020-06-19 04:33:17,4100,53,2078,1969,"Samara Oblast, Russia",128.38522079439764,1.2926829268292683,53.2128813,50.8914633
3464,,,Saratov Oblast,Russia,2020-06-19 04:33:17,5101,40,2396,2665,"Saratov Oblast, Russia",207.10936072595868,0.7841599686336013,51.652055499999996,46.86319520000001
3485,,,Smolensk Oblast,Russia,2020-06-19 04:33:17,4051,57,1661,2333,"Smolensk Oblast, Russia",426.71391312774665,1.4070599851888423,55.03434960000001,33.0192065
3490,,,Stavropol Krai,Russia,2020-06-19 04:33:17,4018,75,2221,1722,"Stavropol Krai, Russia",143.46546581287217,1.866600298656048,44.86325770000001,43.4406913
3494,,,Sverdlovsk Oblast,Russia,2020-06-19 04:33:17,10247,60,4853,5334,"Sverdlovsk Oblast, Russia",236.9108325611247,0.5855372304089002,58.6414755,61.802154599999994
3498,,,Tambov Oblast,Russia,2020-06-19 04:33:17,4152,12,2094,2046,"Tambov Oblast, Russia",401.7214421722371,0.28901734104046245,52.9019574,41.3578918
3502,,,Tatarstan Republic,Russia,2020-06-19 04:33:17,4078,10,3632,436,"Tatarstan Republic, Russia",104.71758094684414,0.2452182442373713,55.7648572,52.43104273
3514,,,Tomsk Oblast,Russia,2020-06-19 04:33:17,1515,11,715,789,"Tomsk Oblast, Russia",140.50153948881552,0.7260726072607261,58.6124279,82.04753149999998
3519,,,Tula Oblast,Russia,2020-06-19 04:33:17,5712,71,4057,1584,"Tula Oblast, Russia",382.8790331500046,1.2429971988795518,53.9570701,37.369090899999996
3522,,,Tver Oblast,Russia,2020-06-19 04:33:17,2934,53,1819,1062,"Tver Oblast, Russia",228.52727645179854,1.8064076346284936,57.1134475,35.174442799999994
3523,,,Tyumen Oblast,Russia,2020-06-19 04:33:17,2433,15,1427,991,"Tyumen Oblast, Russia",65.89210269743256,0.6165228113440198,58.8206488,70.36588370000001
3524,,,Tyva Republic,Russia,2020-06-19 04:33:17,2883,3,497,2383,"Tyva Republic, Russia",896.115279651376,0.1040582726326743,51.401714899999995,93.8582593
3526,,,Udmurt Republic,Russia,2020-06-19 04:33:17,1175,12,720,443,"Udmurt Republic, Russia",77.6580191983842,1.0212765957446808,57.1961165,52.69598320000001
3527,,,Ulyanovsk Oblast,Russia,2020-06-19 04:33:17,4467,25,1626,2816,"Ulyanovsk Oblast, Russia",358.32949628514916,0.5596597268860533,54.146317700000004,47.2324921
3555,,,Vladimir Oblast,Russia,2020-06-19 04:33:17,3739,48,1973,1718,"Vladimir Oblast, Russia",271.2689277005551,1.2837657127574218,56.0503336,40.656163299999996
3556,,,Volgograd Oblast,Russia,2020-06-19 04:33:17,5100,31,2128,2941,"Volgograd Oblast, Russia",202.27852880842877,0.6078431372549019,49.604833899999996,44.29035820000001
3557,,,Vologda Oblast,Russia,2020-06-19 04:33:17,1359,15,863,481,"Vologda Oblast, Russia",115.49355862084205,1.1037527593818983,60.0391461,43.1215213
3559,,,Voronezh Oblast,Russia,2020-06-19 04:33:17,5258,28,2616,2614,"Voronezh Oblast, Russia",225.30088680622924,0.5325218714340053,50.9800393,40.15065070000001
3567,,,Yamalo-Nenets Autonomous Okrug,Russia,2020-06-19 04:33:17,3713,21,1695,1997,"Yamalo-Nenets Autonomous Okrug, Russia",689.4477176550978,0.5655803932130353,67.1471631,74.3415488
3569,,,Yaroslavl Oblast,Russia,2020-06-19 04:33:17,4256,16,2037,2203,"Yaroslavl Oblast, Russia",336.2608676415282,0.3759398496240601,57.77819760000001,39.002109499999996
3573,,,Zabaykalsky Krai,Russia,2020-06-19 04:33:17,2325,40,1307,978,"Zabaykalsky Krai, Russia",216.721382990028,1.7204301075268815,52.248521000000004,115.956325
