,FIPS,Admin2,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,Country/Region,Province/State,Last Update
3501,,,55.7648572,52.43104273,4040,10,3628,402,"Tatarstan Republic, Russia",103.74179181590249,0.2475247524752475,Russia,Tatarstan Republic,2020-06-18 04:33:18
3513,,,58.6124279,82.04753149999998,1426,11,684,731,"Tomsk Oblast, Russia",132.2476536706607,0.7713884992987378,Russia,Tomsk Oblast,2020-06-18 04:33:18
3518,,,53.9570701,37.369090899999996,5620,67,3846,1707,"Tula Oblast, Russia",376.71221398862485,1.192170818505338,Russia,Tula Oblast,2020-06-18 04:33:18
3521,,,57.1134475,35.174442799999994,2869,52,1742,1075,"Tver Oblast, Russia",223.46447039543634,1.8124782154060648,Russia,Tver Oblast,2020-06-18 04:33:18
3522,,,58.8206488,70.36588370000001,2382,15,1397,970,"Tyumen Oblast, Russia",64.51088722781931,0.6297229219143576,Russia,Tyumen Oblast,2020-06-18 04:33:18
3523,,,51.401714899999995,93.8582593,2761,3,447,2311,"Tyva Republic, Russia",858.1943416987336,0.10865628395508874,Russia,Tyva Republic,2020-06-18 04:33:18
3525,,,57.1961165,52.69598320000001,1153,12,693,448,"Udmurt Republic, Russia",76.2039967112655,1.0407632263660018,Russia,Udmurt Republic,2020-06-18 04:33:18
3526,,,54.146317700000004,47.2324921,4344,24,1523,2797,"Ulyanovsk Oblast, Russia",348.46280095426187,0.5524861878453039,Russia,Ulyanovsk Oblast,2020-06-18 04:33:18
3554,,,56.0503336,40.656163299999996,3685,47,1915,1723,"Vladimir Oblast, Russia",267.3511630319726,1.2754409769335142,Russia,Vladimir Oblast,2020-06-18 04:33:18
3555,,,49.604833899999996,44.29035820000001,4991,31,1977,2983,"Volgograd Oblast, Russia",197.95532103585649,0.6211180124223602,Russia,Volgograd Oblast,2020-06-18 04:33:18
3556,,,60.0391461,43.1215213,1335,14,825,496,"Vologda Oblast, Russia",113.4539372765446,1.0486891385767791,Russia,Vologda Oblast,2020-06-18 04:33:18
3558,,,50.9800393,40.15065070000001,5062,27,2397,2638,"Voronezh Oblast, Russia",216.90245131478363,0.5333860134334255,Russia,Voronezh Oblast,2020-06-18 04:33:18
3566,,,67.1471631,74.3415488,3586,21,1643,1922,"Yamalo-Nenets Autonomous Okrug, Russia",665.8657461651444,0.5856107083100948,Russia,Yamalo-Nenets Autonomous Okrug,2020-06-18 04:33:18
3568,,,57.77819760000001,39.002109499999996,4211,16,1941,2254,"Yaroslavl Oblast, Russia",332.70547782858915,0.37995725480883397,Russia,Yaroslavl Oblast,2020-06-18 04:33:18
3572,,,52.248521000000004,115.956325,2263,40,1242,981,"Zabaykalsky Krai, Russia",210.94214611029395,1.7675651789659743,Russia,Zabaykalsky Krai,2020-06-18 04:33:18
